Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Filename,GPS quality,UTM zone
63.022396,704173241.8490667,5639164385.81122,69300.0,0.0,-4.0625,6.4375,image0.jpg,4,30U
128.091354,704173241.8490667,5639164385.81122,69300.0,0.0,-4.0625,6.4375,image1.jpg,4,30U
255.356667,704173241.1203953,5639164404.343641,69300.0,0.0,-4.0625,6.5,image3.jpg,4,30U
393.81,704173241.1203953,5639164404.343641,69300.0,0.0,-4.0625,6.4375,image5.jpg,4,30U
459.102344,704173241.1203953,5639164404.343641,69300.0,0.0,-4.0625,6.4375,image6.jpg,4,30U
525.888229,704173230.1287391,5639164385.350391,69300.0,0.0,-4.0625,6.4375,image7.jpg,4,30U
657.586667,704173230.8569732,5639164366.829086,69300.0,0.0,-4.0625,6.4375,image9.jpg,4,30U
793.614323,704173230.8569732,5639164366.829086,69300.0,0.0,-4.0625,6.4375,image11.jpg,4,30U
858.546667,704173230.8569732,5639164366.829086,69200.0,0.0,-4.0625,6.4375,image12.jpg,4,30U
992.727187,704173230.8569732,5639164366.829086,69200.0,0.0,-4.0625,6.4375,image14.jpg,4,30U
1057.960729,704173230.8569732,5639164366.829086,69200.0,0.0,-4.0625,6.4375,image15.jpg,4,30U
1193.132083,704173230.8569732,5639164366.829086,69200.0,0.0625,-4.0625,6.5,image17.jpg,4,30U
1259.456458,704173230.1287391,5639164385.350391,69200.0,0.0,-4.0625,6.4375,image18.jpg,4,30U
1393.340156,704173230.8569732,5639164366.829086,69200.0,0.0,-4.0625,6.4375,image20.jpg,4,30U
1456.98026,704173230.1287391,5639164385.350391,69200.0,0.0625,-4.0,6.4375,image21.jpg,4,30U
1593.193125,704173230.1287391,5639164385.350391,69300.0,0.0,-4.0625,6.4375,image23.jpg,4,30U
1662.809427,704173230.1287391,5639164385.350391,69300.0,0.125,-4.0625,6.4375,image24.jpg,4,30U
1730.413072,704173230.1287391,5639164385.350391,69300.0,0.1875,-4.0,6.4375,image25.jpg,4,30U
1862.967187,704173230.1287391,5639164385.350391,69300.0,0.25,-4.125,6.3125,image27.jpg,4,30U
1994.006249,704173230.1287391,5639164385.350391,69300.0,0.5,-4.0625,6.25,image29.jpg,4,30U
2064.627708,704173218.4013767,5639164384.889286,69300.0,0.625,-4.25,6.0,image30.jpg,4,30U
2191.044635,704173207.4022484,5639164365.906877,69300.0,0.9375,-4.4375,4.9375,image32.jpg,4,30U
2259.253072,704173183.9545584,5639164364.984942,69300.0,1.3125,-4.75,4.0625,image33.jpg,4,30U
2390.971926,704173148.0512701,5639164382.12321,69300.0,2.625,-5.625,2.125,image35.jpg,4,30U
2461.792187,704173112.8762178,5639164380.740171,69300.0,4.25,-5.8125,3.0,image36.jpg,4,30U
2592.448072,704173065.9738013,5639164378.896029,69300.0,2.5625,-6.0,7.0625,image38.jpg,4,30U
2661.949166,704173043.2543447,5639164359.452792,69200.0,2.8125,-5.75,7.125,image39.jpg,4,30U
2729.818593,704173030.7987489,5639164377.512992,69200.0,2.8125,-5.4375,6.6875,image40.jpg,4,30U
2861.359791,704172983.1746966,5639164394.20155,69200.0,4.375,-3.8125,8.0,image42.jpg,4,30U
2929.238905,704172948.7283148,5639164374.28609,69200.0,4.25,-4.25,7.4375,image43.jpg,4,30U
3061.403176,704172912.8245921,5639164391.435477,69200.0,5.0625,-3.5,7.75,image45.jpg,4,30U
3130.466457,704172889.3698655,5639164390.513268,69200.0,5.125,-3.375,8.0,image46.jpg,4,30U
3262.077291,704172865.9221756,5639164389.591336,69200.0,4.3125,-3.125,7.625,image48.jpg,4,30U
3332.79552,704172830.0184517,5639164406.740724,69200.0,3.75,-2.1875,6.4375,image49.jpg,4,30U
3461.319009,704172817.5628567,5639164424.800923,69200.0,3.9375,-0.25,6.0625,image51.jpg,4,30U
3597.891509,704172817.5628567,5639164424.800923,69200.0,4.125,1.625,5.5625,image53.jpg,4,30U
3663.730415,704172806.5707618,5639164405.818791,69200.0,4.375,3.4375,4.9375,image54.jpg,4,30U
3729.764374,704172782.3878047,5639164423.417887,69200.0,5.25,4.0,4.5,image55.jpg,4,30U
3859.056301,704172758.9401149,5639164422.495955,69200.0,6.75,4.0625,5.875,image57.jpg,4,30U
3929.100415,704172735.4924234,5639164421.574023,69200.0,7.25,3.9375,7.375,image58.jpg,4,30U
4059.085624,704172700.3173712,5639164420.19099,69200.0,7.125,3.0625,7.6875,image60.jpg,4,30U
4131.211509,704172676.8626468,5639164419.268783,69200.0,7.5,3.75,7.625,image61.jpg,4,30U
4260.53729,704172653.4149551,5639164418.346851,69200.0,6.9375,4.625,6.5,image63.jpg,4,30U
4329.460311,704172617.511234,5639164435.496239,69200.0,7.5,4.4375,6.5625,image64.jpg,4,30U
4461.935936,704172581.6075131,5639164452.645627,69200.0,7.3125,4.25,7.0,image66.jpg,4,30U
4529.119738,704172546.4324595,5639164451.262592,69200.0,7.375,4.3125,7.0625,image67.jpg,4,30U
4661.173488,704172533.9768654,5639164469.322795,69200.0,7.4375,3.3125,7.0,image69.jpg,4,30U
4797.861196,704172498.801812,5639164467.939761,69200.0,7.875,1.125,7.1875,image71.jpg,4,30U
4861.456092,704172462.8980918,5639164485.089149,69200.0,7.875,0.875,7.1875,image72.jpg,4,30U
4929.233071,704172438.7217338,5639164502.699642,69200.0,8.4375,0.5625,6.75,image73.jpg,4,30U
5059.815571,704172415.2740444,5639164501.777713,69200.0,9.3125,0.625,5.625,image75.jpg,4,30U
5128.245675,704172391.8193185,5639164500.855507,69200.0,9.875,1.25,5.1875,image76.jpg,4,30U
