Frame,Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
61,10279.862861,704050542.6767051,5638926521.746377,84417.09059332585,359.9375,-6.9375,3.25,0.0156862754,1.0,5.0,30U,704050.5426767054,5638926.5217463765,84417.09059332585,-65.33825427453803,-61.48677286613622
62,10436.932549,704050600.2938614,5638926396.257067,84416.31414785744,359.9375,-6.875,3.25,0.0627451017,0.0,5.0,30U,704050.6002938615,5638926.396257065,84416.31414785744,-65.28043767188035,-61.48677286613622
63,10599.182601,704050662.1620519,5638926261.866856,84415.52284908044,359.9375,-6.9375,3.25,0.0549019612,0.0,5.0,30U,704050.6621620519,5638926.261866855,84415.52284908044,-65.33745198502999,-61.48677286613622
64,10758.788642,704050723.9293967,5638926127.343462,84415.38415667968,359.9375,-6.9375,3.25,0.0313725509,1.0,5.0,30U,704050.7239293968,5638926.127343462,84415.38415667968,-65.39753040496294,-61.48677286613622
65,10913.423225,704050784.6352923,5638925994.765386,84414.98227935584,359.9375,-6.6875,3.4375,0.5490196347,0.0,5.0,30U,704050.7846352924,5638925.994765384,84414.98227935584,-65.37361083811697,-61.48677286613622
66,11072.066715,704050848.7350636,5638925854.929538,84414.84609133327,358.5,-7.8125,5.1875,0.5333333611,0.0,5.0,30U,704050.8487350635,5638925.8549295375,84414.84609133327,-65.4041807974715,-60.04927286613622
67,11228.788173,704050913.0001023,5638925714.535453,84414.85644223854,357.625,-9.125,5.375,0.5411764979,0.0,5.0,30U,704050.9130001024,5638925.714535453,84414.85644223854,-65.39960914345801,-59.17427286613622
68,11392.281454,704050981.6724684,5638925564.5447,84414.8971713545,356.8125,-7.0,6.125,0.5568627715,12.0,5.0,30U,704050.9816724685,5638925.5645447,84414.8971713545,-65.51229802544037,-58.36177286613622
69,11551.621506,704051048.8969934,5638925416.95,84414.9808624475,358.0,-4.75,8.3125,0.5176470876,28.0,5.0,30U,704051.0488969935,5638925.416949999,84414.9808624475,-65.63997946886263,-59.54927286613622
70,11710.192965,704051116.1989106,5638925268.308139,84415.06745505794,3.0625,-3.5,10.1875,0.5176470876,33.0,2.0,30U,704051.1161989106,5638925.2683081385,84415.06745505794,-65.75494601014714,-64.61177286613622
