gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
4,50.863415,-0.093953667,56.6,6.5,-4.0625,359.9375,image0.jpg,2.639286
4,50.863415,-0.093953667,56.6,6.5,-4.0625,359.9375,image1.jpg,202.466664
4,50.863415,-0.093953667,56.6,6.5,-4.0625,359.9375,image2.jpg,402.239675
4,50.863415,-0.093953667,56.6,6.5,-4.0625,359.9375,image3.jpg,601.799958
4,50.863415,-0.093953667,56.6,6.5,-4.0625,359.9375,image4.jpg,801.846053
4,50.863415,-0.093953667,56.6,6.5,-4.0625,0,image5.jpg,1001.916671
4,50.863415,-0.093953667,56.6,7.125,-3.875,0,image6.jpg,1202.83378
4,50.86341483,-0.0939535,56.6,6.5625,-3.625,0.0625,image7.jpg,1403.171811
4,50.86341417,-0.093953167,56.6,6.375,-3.25,0.4375,image8.jpg,1603.274356
4,50.86341433,-0.093953167,56.6,6.3125,-2.9375,0.3125,image9.jpg,1803.219269
4,50.86341433,-0.093953,56.6,9.375,-1.6875,0.0625,image10.jpg,2002.412624
4,50.86341367,-0.093952167,56.6,13.5,-2.3125,1.25,image11.jpg,2202.465174
4,50.863412,-0.093951,56.6,6.875,-6.1875,1.5,image12.jpg,2403.398217
4,50.86341183,-0.093951333,56.6,6.875,-3.875,1.5,image13.jpg,2603.544555
4,50.863412,-0.093951167,56.6,8,-3.0625,1.5625,image14.jpg,2803.588981
4,50.863412,-0.093951167,56.6,8,-3.25,1.5625,image15.jpg,3002.723902
4,50.863412,-0.093951167,56.6,8,-3.25,1.5625,image16.jpg,3202.78431
4,50.863412,-0.093951167,56.6,7.4375,-3.25,1.75,image17.jpg,3403.325895
4,50.863412,-0.093951333,56.6,6.1875,-3.4375,1.75,image18.jpg,3603.971528
4,50.863412,-0.093951333,56.6,4.875,-1.4375,11.5625,image19.jpg,3804.087448
4,50.86341217,-0.0939505,56.7,10.75,6.25,55.6875,image20.jpg,4004.010369
4,50.86341233,-0.093950167,56.8,8.5,8.875,106.0625,image21.jpg,4203.193971
4,50.86341267,-0.093950833,56.8,-2.625,5.75,144.9375,image22.jpg,4403.248849
4,50.8634125,-0.093950833,56.7,-4.875,0.3125,159.4375,image23.jpg,4603.875414
4,50.86341267,-0.093950667,56.6,-3.625,0.5,157.9375,image24.jpg,4803.269973
4,50.86341267,-0.0939505,56.6,-1.25,1.6875,157.0625,image25.jpg,5003.393271
4,50.8634135,-0.093951667,56.6,-3.1875,1.8125,157.3125,image26.jpg,5203.389395
4,50.86341367,-0.093952667,56.6,-1,1.9375,157.9375,image27.jpg,5403.463842
4,50.86341433,-0.093953667,56.6,-2.125,1.5,158.5,image28.jpg,5603.816112
4,50.86341483,-0.093954333,56.7,-1.9375,1.3125,159.25,image29.jpg,5803.641012
4,50.8634155,-0.093955,56.7,-2.1875,1.4375,161.6875,image30.jpg,6003.721803
4,50.86341583,-0.0939555,56.7,0.0625,2.625,164,image31.jpg,6203.762958
4,50.86341633,-0.093956167,56.7,0.125,1.1875,166.125,image32.jpg,6403.829422
4,50.86341667,-0.093956667,56.7,-1.5625,1.5625,167.4375,image33.jpg,6604.068673
4,50.86341717,-0.093957333,56.7,-1.25,1.875,168.125,image34.jpg,6805.052294
4,50.86341767,-0.093957667,56.7,-3.5,1.8125,168.5625,image35.jpg,7005.118542
4,50.86341817,-0.093958333,56.7,-0.625,0.75,169,image36.jpg,7205.087033
