Frame,Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
222,14920.054681,704051856.4661216,5638921879.224385,89251.39932035167,0.0,-3.5625,10.6875,0.4235294163,1.0,5.0,30U,704051.8564661217,5638921.879224385,89251.39932035167,-77.34847807318982,-74.59068789992205
223,14987.77114,704051866.0074492,5638921836.718516,89254.07409526187,359.9375,-3.8125,9.375,0.4156862795,1.0,,,704051.8660074493,5638921.836718516,89254.07409526187,-75.07136728603774,-74.52818789992205
224,15061.632963,704051878.5467428,5638921789.686984,89254.07736927731,359.625,-4.0,9.25,0.4156862795,2.0,5.0,30U,704051.8785467431,5638921.789686984,89254.07736927731,-76.35058840933323,-74.21568789992205
225,15122.109213,704051887.96222,5638921750.9144,89253.45189038043,359.3125,-3.75,9.75,0.3686274588,2.0,5.0,30U,704051.88796222,5638921.7509144,89253.45189038043,-75.78794450436749,-73.90318789992205
226,15191.21765,704051899.0030406,5638921707.320074,89253.8802774404,359.1875,-4.0,9.5,0.4235294163,1.0,,,704051.8990030407,5638921.707320075,89253.8802774404,-75.12309236949835,-73.77818789992205
227,15259.506765,704051910.5085979,5638921664.008769,89253.69993571534,359.0625,-4.25,9.6875,0.4313725531,1.0,5.0,30U,704051.9105085981,5638921.664008769,89253.69993571534,-75.4003528279788,-73.65318789992205
228,15322.423171,704051920.9682819,5638921623.852409,89254.23429825202,359.0,-4.5,9.625,0.4392156899,1.0,5.0,30U,704051.9209682823,5638921.623852409,89254.23429825202,-75.31188934205528,-73.59068789992205
229,15392.622806,704051932.6620755,5638921579.240604,89255.00067268843,358.875,-4.4375,9.6875,0.4235294163,2.0,,,704051.9326620759,5638921.579240606,89255.00067268843,-74.99304218345554,-73.46568789992205
230,15457.542389,704051943.739517,5638921537.919104,89255.2958132169,358.3125,-3.9375,8.9375,0.4235294163,1.0,5.0,30U,704051.9437395174,5638921.537919104,89255.2958132169,-74.93748817172332,-72.90318789992205
231,15523.728483,704051955.0604186,5638921495.85256,89255.84847759549,358.5625,-3.6875,8.5,0.4235294163,3.0,5.0,30U,704051.9550604187,5638921.495852564,89255.84847759549,-74.43267413308922,-73.15318789992205
232,15591.542233,704051966.8777939,5638921453.434103,89256.56302461521,358.375,-3.6875,8.875,0.3686274588,3.0,,,704051.966877794,5638921.453434103,89256.56302461521,-74.25344368022661,-72.96568789992205
233,15660.748848,704051979.1510371,5638921409.906449,89256.77329059999,357.875,-3.0625,9.125,0.4235294163,3.0,5.0,30U,704051.9791510372,5638921.409906452,89256.77329059999,-74.24673251900549,-72.46568789992205
234,15723.301921,704051990.2632725,5638921370.514034,89257.30216247278,357.75,-3.0625,8.9375,0.4235294163,3.0,5.0,30U,704051.9902632725,5638921.370514036,89257.30216247278,-74.16508569099517,-72.34068789992205
235,15790.633691,704052002.246338,5638921328.265062,89257.84622746035,357.9375,-2.5625,8.75,0.4235294163,3.0,,,704052.0022463383,5638921.328265063,89257.84622746035,-74.0508224788689,-72.52818789992205
236,15860.311816,704052014.8010643,5638921284.3345,89257.93621614318,358.0625,-2.3125,9.125,0.3450980484,4.0,5.0,30U,704052.0148010643,5638921.284334499,89257.93621614318,-74.10671068029023,-72.65318789992205
237,15929.598327,704052027.2181461,5638921240.724608,89258.13784965186,357.5625,-2.8125,9.3125,0.4392156899,3.0,5.0,30U,704052.0272181462,5638921.240724609,89258.13784965186,-74.18055376607174,-72.15318789992205
238,15991.493848,704052038.2123805,5638921201.922081,89258.62049300599,357.5625,-2.875,9.0,0.4156862795,3.0,,,704052.0382123804,5638921.201922081,89258.62049300599,-74.0330633792471,-72.15318789992205
239,16060.517337,704052050.6705773,5638921158.380371,89258.57609696749,358.0625,-3.0,9.125,0.4235294163,3.0,5.0,30U,704052.0506705774,5638921.15838037,89258.57609696749,-74.0959933460345,-72.65318789992205
240,16126.111504,704052062.4964302,5638921116.876407,89258.69743319576,357.875,-3.3125,9.1875,0.4156862795,5.0,5.0,30U,704052.0624964302,5638921.116876407,89258.69743319576,-74.23236517324546,-72.46568789992205
241,16194.451556,704052074.7035855,5638921073.644036,89258.39382697531,358.1875,-3.625,8.875,0.4156862795,6.0,,,704052.0747035856,5638921.073644036,89258.39382697531,-74.17461323210256,-72.77818789992205
242,16257.36765,704052085.9982598,5638921033.796901,89258.01069360352,358.375,-3.625,8.75,0.4156862795,8.0,5.0,30U,704052.0859982598,5638921.033796902,89258.01069360352,-74.20522525706428,-72.96568789992205
243,16331.027858,704052099.2635248,5638920986.902126,89257.38041571429,358.75,-3.4375,8.5625,0.3294117749,9.0,5.0,30U,704052.0992635248,5638920.986902126,89257.38041571429,-74.3098249593387,-73.34068789992205
244,16390.969785,704052109.9302621,5638920948.929006,89257.23059672087,359.0625,-3.5,8.875,0.4156862795,8.0,,,704052.1099302622,5638920.948929004,89257.23059672087,-74.0740101171869,-73.65318789992205
245,16462.495566,704052122.9210329,5638920903.402938,89256.50457741378,359.8125,-3.375,9.375,0.4313725531,7.0,5.0,30U,704052.1229210328,5638920.9034029385,89256.50457741378,-74.25889573825282,-74.40318789992205
