speed,steering angle,gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
0.0392156877,1.0000000000,5,50.8680558333,-0.0982463333,69.3000000000,8.6250000000,-3.7500000000,0.0000000000,image0.jpg,9.9346880000
0.0549019612,1.0000000000,5,50.8680560000,-0.0982460000,69.3000000000,8.6250000000,-3.7500000000,0.0000000000,image1.jpg,75.5594270000
0.0549019612,0.0000000000,5,50.8680561667,-0.0982460000,69.3000000000,8.6250000000,-3.7500000000,0.0000000000,image3.jpg,204.7356770000
0.0392156877,1.0000000000,5,50.8680561667,-0.0982460000,69.3000000000,8.6250000000,-3.7500000000,0.0000000000,image4.jpg,273.4064580000
0.0470588244,0.0000000000,5,50.8680560000,-0.0982458333,69.3000000000,8.6250000000,-3.7500000000,0.0000000000,image6.jpg,404.1222920000
0.0470588244,1.0000000000,5,50.8680560000,-0.0982460000,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image7.jpg,473.1103650000
0.0000000000,0.0000000000,5,50.8680560000,-0.0982460000,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image9.jpg,604.1540620000
0.0549019612,0.0000000000,5,50.8680561667,-0.0982458333,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image10.jpg,674.2048440000
0.0549019612,0.0000000000,5,50.8680561667,-0.0982458333,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image12.jpg,804.8572390000
0.0392156877,0.0000000000,5,50.8680561667,-0.0982460000,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image13.jpg,874.4935410000
0.0392156877,2.0000000000,5,50.8680561667,-0.0982460000,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image15.jpg,1005.2538020000
0.0078431377,0.0000000000,5,50.8680561667,-0.0982458333,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image16.jpg,1073.8229680000
0.1411764771,0.0000000000,5,50.8680561667,-0.0982460000,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image18.jpg,1209.4868230000
0.1411764771,0.0000000000,5,50.8680560000,-0.0982458333,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image19.jpg,1273.3600000000
0.2431372553,0.0000000000,5,50.8680560000,-0.0982458333,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image21.jpg,1408.9981250000
0.2431372553,1.0000000000,5,50.8680560000,-0.0982458333,69.3000000000,8.6250000000,-3.7500000000,359.9375000000,image22.jpg,1472.8340620000
0.3137255013,0.0000000000,5,50.8680560000,-0.0982458333,69.3000000000,8.3125000000,-3.5625000000,359.9375000000,image24.jpg,1609.2572910000
0.3372549117,0.0000000000,5,50.8680561667,-0.0982460000,69.3000000000,8.1875000000,-3.5000000000,359.8750000000,image25.jpg,1673.1370830000
0.2431372553,1.0000000000,5,50.8680561667,-0.0982460000,69.3000000000,7.8125000000,-2.8750000000,359.9375000000,image27.jpg,1808.3580200000
0.3686274588,0.0000000000,5,50.8680561667,-0.0982460000,69.3000000000,7.3750000000,-2.5000000000,0.0625000000,image28.jpg,1878.0152080000
0.3607843220,0.0000000000,5,50.8680561667,-0.0982461667,69.3000000000,6.3125000000,-2.3125000000,0.3125000000,image30.jpg,2008.9677600000
0.3607843220,1.0000000000,5,50.8680563333,-0.0982465000,69.3000000000,6.0000000000,-2.1250000000,0.3125000000,image31.jpg,2073.3318220000
0.3607843220,0.0000000000,5,50.8680563333,-0.0982466667,69.3000000000,6.4375000000,-2.6875000000,0.1875000000,image33.jpg,2208.1174990000
0.2745098174,0.0000000000,5,50.8680565000,-0.0982471667,69.3000000000,5.9375000000,-3.3125000000,0.3125000000,image34.jpg,2273.6915620000
0.2745098174,0.0000000000,5,50.8680566667,-0.0982475000,69.3000000000,4.0000000000,-4.7500000000,0.3125000000,image36.jpg,2407.9671350000
0.1490196139,0.0000000000,5,50.8680568333,-0.0982480000,69.3000000000,4.1250000000,-4.3125000000,1.1250000000,image37.jpg,2476.9872910000
0.0627451017,0.0000000000,5,50.8680568333,-0.0982485000,69.3000000000,7.4375000000,-2.4375000000,1.0625000000,image39.jpg,2608.1436970000
0.0627451017,0.0000000000,5,50.8680568333,-0.0982486667,69.3000000000,8.1875000000,-2.9375000000,0.2500000000,image40.jpg,2677.2250510000
0.0862745121,0.0000000000,5,50.8680568333,-0.0982488333,69.3000000000,7.8750000000,-2.5625000000,0.6875000000,image42.jpg,2808.7755200000
0.0941176489,0.0000000000,5,50.8680568333,-0.0982486667,69.3000000000,8.0000000000,-2.5625000000,0.6875000000,image43.jpg,2878.9604160000
0.0862745121,1.0000000000,5,50.8680568333,-0.0982488333,69.3000000000,7.8750000000,-2.6250000000,0.5625000000,image45.jpg,3009.2989050000
0.1411764771,0.0000000000,5,50.8680568333,-0.0982488333,69.3000000000,7.8750000000,-2.6250000000,0.5625000000,image46.jpg,3077.6855200000
0.2431372553,0.0000000000,5,50.8680568333,-0.0982488333,69.3000000000,7.8750000000,-2.6250000000,0.5625000000,image48.jpg,3209.0777070000
0.3215686381,0.0000000000,5,50.8680568333,-0.0982488333,69.3000000000,7.8750000000,-2.6250000000,0.5625000000,image49.jpg,3276.6228630000
0.3843137324,0.0000000000,5,50.8680568333,-0.0982488333,69.3000000000,7.8750000000,-2.6250000000,0.5625000000,image51.jpg,3408.1858840000
0.3686274588,0.0000000000,5,50.8680568333,-0.0982488333,69.3000000000,8.0625000000,-2.5000000000,0.3125000000,image52.jpg,3476.6572900000
0.4313725531,0.0000000000,5,50.8680568333,-0.0982488333,69.3000000000,7.1250000000,-2.5625000000,0.1250000000,image54.jpg,3610.5088530000
0.4392156899,0.0000000000,5,50.8680566667,-0.0982490000,69.3000000000,6.1250000000,-2.3750000000,0.1250000000,image55.jpg,3675.9552070000
0.3921568692,0.0000000000,5,50.8680568333,-0.0982491667,69.3000000000,5.3125000000,-2.7500000000,0.1250000000,image57.jpg,3810.1665610000
0.4313725531,0.0000000000,5,50.8680568333,-0.0982495000,69.3000000000,5.2500000000,-3.0000000000,0.1250000000,image58.jpg,3878.7093220000
0.3921568692,0.0000000000,5,50.8680568333,-0.0982498333,69.3000000000,5.2500000000,-3.3750000000,0.0000000000,image59.jpg,3946.6871340000
0.4000000060,0.0000000000,5,50.8680570000,-0.0982503333,69.3000000000,4.8125000000,-3.8750000000,359.6875000000,image61.jpg,4078.5547380000
0.4627451003,0.0000000000,5,50.8680571667,-0.0982506667,69.3000000000,4.6250000000,-3.6875000000,0.0000000000,image62.jpg,4145.2283320000
0.4549019635,0.0000000000,5,50.8680571667,-0.0982510000,69.3000000000,6.3125000000,-2.0625000000,359.9375000000,image64.jpg,4277.7589570000
0.4549019635,0.0000000000,5,50.8680571667,-0.0982511667,69.3000000000,7.6250000000,0.0000000000,359.6250000000,image66.jpg,4408.1949460000
0.4549019635,1.0000000000,5,50.8680571667,-0.0982516667,69.3000000000,7.3125000000,1.3750000000,359.3125000000,image67.jpg,4477.8281760000
0.4627451003,0.0000000000,5,50.8680573333,-0.0982518333,69.3000000000,5.1250000000,2.1875000000,359.0000000000,image69.jpg,4608.0643730000
0.4627451003,0.0000000000,5,50.8680575000,-0.0982523333,69.3000000000,5.4375000000,1.8750000000,358.9375000000,image70.jpg,4676.4556750000
0.4784313738,0.0000000000,5,50.8680575000,-0.0982530000,69.3000000000,5.6250000000,1.9375000000,359.1250000000,image71.jpg,4745.7845820000
0.4627451003,0.0000000000,5,50.8680576667,-0.0982533333,69.2000000000,3.6250000000,2.4375000000,358.8750000000,image73.jpg,4877.8972380000
0.4313725531,0.0000000000,5,50.8680576667,-0.0982536667,69.2000000000,2.3750000000,1.5625000000,358.8750000000,image75.jpg,5011.9347380000
0.4705882370,0.0000000000,5,50.8680578333,-0.0982543333,69.3000000000,2.6250000000,1.3750000000,358.5625000000,image76.jpg,5076.8309880000
0.4705882370,0.0000000000,5,50.8680580000,-0.0982548333,69.3000000000,2.1875000000,1.4375000000,358.3125000000,image77.jpg,5145.3170820000
0.4392156899,3.0000000000,5,50.8680581667,-0.0982551667,69.3000000000,1.1875000000,1.6250000000,359.5625000000,image79.jpg,5277.1947900000
0.4862745106,4.0000000000,5,50.8680580000,-0.0982555000,69.3000000000,1.1250000000,1.1250000000,359.6250000000,image80.jpg,5344.9867170000
0.4705882370,12.0000000000,5,50.8680581667,-0.0982558333,69.3000000000,1.0000000000,0.7500000000,359.8125000000,image82.jpg,5476.7175500000
0.4705882370,14.0000000000,5,50.8680583333,-0.0982563333,69.3000000000,1.6250000000,0.6875000000,359.8125000000,image83.jpg,5544.9517170000
0.4784313738,15.0000000000,5,50.8680583333,-0.0982566667,69.3000000000,2.2500000000,0.6250000000,0.0000000000,image85.jpg,5676.7355710000
0.4862745106,7.0000000000,5,50.8680585000,-0.0982570000,69.3000000000,2.0000000000,-0.2500000000,0.9375000000,image87.jpg,5812.2586440000
0.5098039508,4.0000000000,5,50.8680588333,-0.0982575000,69.3000000000,1.8125000000,-0.4375000000,0.8125000000,image88.jpg,5876.5192690000
0.4862745106,-2.0000000000,5,50.8680590000,-0.0982581667,69.3000000000,1.8125000000,0.1250000000,1.3125000000,image90.jpg,6013.6598940000
