gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
4,50.863442,-0.093903167,56.7,5,-2.4375,0,image0.jpg,3.615443
4,50.863442,-0.093903167,56.7,5,-2.4375,0,image1.jpg,201.649048
4,50.863442,-0.093903167,56.7,5,-2.4375,0,image2.jpg,401.528137
4,50.863442,-0.093903167,56.7,5.1875,-2.25,0.1875,image3.jpg,602.190483
4,50.86344217,-0.093903333,56.7,5.375,-1.9375,0.5,image4.jpg,801.859824
4,50.86344233,-0.0939035,56.7,4.875,-1.5625,0.875,image5.jpg,1001.920846
4,50.8634425,-0.093903667,56.7,4.9375,-0.8125,1.5625,image6.jpg,1202.512721
4,50.86344267,-0.093904,56.7,5.3125,-0.5625,2.1875,image7.jpg,1403.301009
4,50.86344333,-0.093904833,56.7,5.125,-1.8125,3,image8.jpg,1603.211401
4,50.86344383,-0.093905667,56.7,6.9375,-1.625,5.375,image9.jpg,1803.11872
4,50.86344467,-0.093906667,56.7,6.5625,-2.3125,7.8125,image10.jpg,2003.1812
4,50.8634455,-0.093907333,56.7,5.8125,-2.0625,9.5,image11.jpg,2202.325054
4,50.86344633,-0.0939085,56.7,6.3125,-2.25,10.75,image12.jpg,2402.454151
4,50.86344733,-0.093909167,56.7,6.1875,-2.5,11.8125,image13.jpg,2602.481891
4,50.86344833,-0.093910167,56.7,5.9375,-4.6875,12.5,image14.jpg,2803.016732
4,50.86344917,-0.093911,56.7,6.8125,-3.4375,13.75,image15.jpg,3003.562616
4,50.86345,-0.093911667,56.7,5.8125,-3.0625,15.125,image16.jpg,3203.58921
4,50.863451,-0.093912333,56.7,5.375,-1,16.25,image17.jpg,3403.671899
4,50.86345183,-0.093913333,56.7,6.6875,-1.75,17.3125,image18.jpg,3603.699431
4,50.86345283,-0.093913833,56.7,7.375,-1.9375,18.125,image19.jpg,3802.901151
4,50.8634535,-0.0939145,56.7,6.25,0,18.8125,image20.jpg,4002.943319
4,50.8634545,-0.093915167,56.7,5.5,0.125,19.5625,image21.jpg,4203.240756
4,50.86345567,-0.093915667,56.7,4.6875,-0.5,21.625,image22.jpg,4403.826015
