gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
4,50.8634171667,-0.0939376667,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image0.jpg,2.5672020000
4,50.8634170000,-0.0939376667,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image1.jpg,201.8718980000
4,50.8634170000,-0.0939376667,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image2.jpg,402.5323250000
4,50.8634170000,-0.0939375000,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image3.jpg,603.3194510000
4,50.8634170000,-0.0939376667,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image4.jpg,803.0060220000
4,50.8634170000,-0.0939376667,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image5.jpg,1001.9618240000
4,50.8634171667,-0.0939376667,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image6.jpg,1202.2304250000
4,50.8634170000,-0.0939376667,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image7.jpg,1402.3659830000
4,50.8634170000,-0.0939376667,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image8.jpg,1603.4182930000
4,50.8634170000,-0.0939375000,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image9.jpg,1803.3557230000
4,50.8634170000,-0.0939376667,56.6000000000,6.6875000000,-1.6875000000,0.0000000000,image10.jpg,2003.5378540000
4,50.8634170000,-0.0939376667,56.6000000000,6.8125000000,-1.6875000000,359.9375000000,image11.jpg,2202.2545420000
4,50.8634170000,-0.0939376667,56.6000000000,6.9375000000,-1.5625000000,359.9375000000,image12.jpg,2402.3999090000
4,50.8634171667,-0.0939378333,56.6000000000,6.8750000000,-1.3125000000,359.8750000000,image13.jpg,2603.4265540000
4,50.8634176667,-0.0939383333,56.6000000000,6.2500000000,-0.6250000000,0.5000000000,image14.jpg,2803.5204520000
4,50.8634185000,-0.0939390000,56.6000000000,7.5625000000,-1.8125000000,0.7500000000,image15.jpg,3003.5751210000
4,50.8634193333,-0.0939400000,56.6000000000,7.1250000000,-0.9375000000,1.3750000000,image16.jpg,3202.7693530000
4,50.8634196667,-0.0939405000,56.6000000000,8.1250000000,-2.0625000000,0.5625000000,image17.jpg,3402.6998950000
4,50.8634208333,-0.0939418333,56.6000000000,7.8125000000,-1.6250000000,0.0625000000,image18.jpg,3603.6405040000
4,50.8634216667,-0.0939426667,56.6000000000,8.0625000000,-2.8750000000,359.9375000000,image19.jpg,3802.9315630000
4,50.8634223333,-0.0939436667,56.6000000000,7.1250000000,-2.3125000000,0.8750000000,image20.jpg,4002.8967060000
4,50.8634228333,-0.0939440000,56.6000000000,7.1875000000,-1.4375000000,1.2500000000,image21.jpg,4203.1184270000
4,50.8634236667,-0.0939446667,56.6000000000,8.0000000000,-1.3750000000,1.4375000000,image22.jpg,4403.1310550000
4,50.8634243333,-0.0939456667,56.7000000000,7.4375000000,-0.7500000000,1.6250000000,image23.jpg,4603.2340850000
4,50.8634255000,-0.0939468333,56.7000000000,8.1250000000,-0.3125000000,2.3750000000,image24.jpg,4803.3241950000
4,50.8634260000,-0.0939471667,56.7000000000,6.8125000000,-1.3125000000,3.0625000000,image25.jpg,5003.2776540000
4,50.8634273333,-0.0939486667,56.7000000000,7.5625000000,-1.8125000000,3.6250000000,image26.jpg,5203.4343960000
4,50.8634278333,-0.0939490000,56.7000000000,7.8125000000,-1.6250000000,3.3750000000,image27.jpg,5403.4541440000
4,50.8634295000,-0.0939505000,56.7000000000,7.3750000000,-1.7500000000,4.3125000000,image28.jpg,5603.7820710000
4,50.8634306667,-0.0939515000,56.7000000000,7.5000000000,-2.2500000000,4.6250000000,image29.jpg,5804.2806150000
4,50.8634316667,-0.0939526667,56.7000000000,7.3750000000,-2.3125000000,4.5625000000,image30.jpg,6005.1224780000
4,50.8634325000,-0.0939535000,56.7000000000,8.8125000000,-2.1250000000,4.7500000000,image31.jpg,6204.6433190000
4,50.8634331667,-0.0939540000,56.7000000000,9.0625000000,-2.0000000000,5.3750000000,image32.jpg,6404.5867480000
4,50.8634346667,-0.0939553333,56.7000000000,7.5000000000,-1.9375000000,3.5000000000,image33.jpg,6604.0385130000
4,50.8634351667,-0.0939558333,56.7000000000,7.8750000000,-1.9375000000,2.3125000000,image34.jpg,6804.0152570000
4,50.8634365000,-0.0939573333,56.7000000000,9.0625000000,-2.2500000000,2.0625000000,image35.jpg,7005.4346150000
4,50.8634376667,-0.0939585000,56.7000000000,8.6250000000,-2.3125000000,2.5000000000,image36.jpg,7205.0701250000
4,50.8634385000,-0.0939595000,56.7000000000,9.1250000000,-3.1875000000,3.0625000000,image37.jpg,7405.0667510000
4,50.8634396667,-0.0939603333,56.7000000000,8.8750000000,-2.6875000000,3.7500000000,image38.jpg,7604.2473110000
4,50.8634406667,-0.0939613333,56.7000000000,8.7500000000,-2.3750000000,4.6250000000,image39.jpg,7804.3878070000
4,50.8634416667,-0.0939621667,56.7000000000,8.1875000000,-2.1250000000,5.2500000000,image40.jpg,8005.1501820000
