Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality
4182.356404,704051163515.2667,5638924317544.226,86900000.0,0.0,-7.1875,1.0625,0.0078431377,0.0, 5.0
4251.515936,704051175240.8196,5638924318004.947,86900000.0,0.0,-7.1875,1.0625,0.0392156877,0.0, 5.0
4314.050831,,,,0.0,-7.1875,1.125,0.0235294122,0.0, 
4383.95229,704051163515.2667,5638924317544.226,86900000.0,0.0,-7.1875,1.125,0.0392156877,0.0, 5.0
4455.527759,704051163515.2667,5638924317544.226,86900000.0,0.0,-7.1875,1.125,0.0549019612,0.0, 5.0
4517.029686,,,,0.0,-7.1875,1.125,0.0549019612,0.0, 
4583.8963,704051174512.7852,5638924336533.667,86900000.0,0.0,-7.1875,1.125,0.0549019612,1.0, 5.0
4651.843904,704051174512.7852,5638924336533.667,86900000.0,0.0,-7.1875,1.125,0.0,0.0, 5.0
4715.380935,,,,0.0,-7.1875,1.125,0.0392156877,0.0, 
4786.606196,704051163515.2667,5638924317544.226,86900000.0,0.0,-7.1875,1.125,0.0392156877,0.0, 5.0
4850.283592,704051175240.8196,5638924318004.947,86900000.0,0.0,-7.1875,1.125,0.0392156877,2.0, 5.0
4915.510258,,,,0.0,-7.1875,1.125,0.0078431377,0.0, 
4985.778071,704051175240.8196,5638924318004.947,86900000.0,0.0,-7.1875,1.125,0.0549019612,0.0, 5.0
5053.787185,704051175240.8196,5638924318004.947,86900000.0,0.0,-7.1875,1.125,0.0549019612,2.0, 5.0
5113.223383,,,,0.0,-7.1875,1.125,0.0549019612,0.0, 
5184.414685,704051175240.8196,5638924318004.947,86900000.0,0.0,-7.1875,1.125,0.0549019612,0.0, 5.0
5254.714112,704051162787.2323,5638924336072.942,86900000.0,0.0,-7.1875,1.125,0.0392156877,0.0, 5.0
5313.783592,,,,0.0,-7.1875,1.125,0.0392156877,1.0, 
5383.345414,704051162787.2323,5638924336072.942,86900000.0,0.0,-7.1875,1.125,0.0078431377,0.0, 5.0
5453.386456,704051162787.2323,5638924336072.942,86900000.0,0.0625,-7.0625,1.1875,0.0392156877,0.0, 5.0
5514.032133,,,,359.9375,-7.0625,1.125,0.0392156877,0.0, 
5580.645623,704051162787.2323,5638924336072.942,86900000.0,0.0,-7.1875,1.125,0.0549019612,0.0, 5.0
5654.349789,704051175240.8196,5638924318004.947,86900000.0,0.0,-7.1875,1.125,0.0549019612,0.0, 5.0
5717.471143,,,,0.0,-7.125,1.125,0.0549019612,0.0, 
5783.239477,704051162787.2323,5638924336072.942,86900000.0,0.0,-7.125,1.125,0.0392156877,2.0, 5.0
5852.564685,704051174512.7852,5638924336533.667,86900000.0,0.0,-7.125,1.125,-0.0470588244,0.0, 5.0
5924.076873,,,,0.0,-7.125,1.125,0.0392156877,0.0, 
5981.366768,704051174512.7852,5638924336533.667,86900000.0,0.0,-7.125,1.125,0.0392156877,0.0, 5.0
6049.29807,704051162787.2323,5638924336072.942,87000000.0,0.0,-7.125,1.125,0.0392156877,1.0, 5.0
6120.166925,,,,0.0,-7.125,1.125,-0.0156862754,0.0, 
6183.1738,704051162787.2323,5638924336072.942,87000000.0,0.0,-7.125,1.125,0.0549019612,0.0, 5.0
6249.864477,704051174512.7852,5638924336533.667,87000000.0,0.0,-7.125,1.125,0.0549019612,1.0, 5.0
6320.45281,,,,0.0,-7.125,1.125,0.0549019612,0.0, 
6381.44932,704051175240.8196,5638924318004.947,87000000.0,0.0,-7.125,1.125,0.0392156877,0.0, 5.0
6451.003487,704051162787.2323,5638924336072.942,87000000.0,0.0,-7.125,1.125,0.0392156877,0.0, 5.0
6520.898851,,,,0.0,-7.125,1.125,0.0392156877,1.0, 
6584.83807,704051174512.7852,5638924336533.667,87000000.0,0.0,-7.125,1.125,-0.0156862754,0.0, 5.0
6651.920206,704051174512.7852,5638924336533.667,87000000.0,0.0,-7.125,1.125,0.0392156877,0.0, 5.0
6722.563383,,,,0.0,-7.125,1.125,0.0549019612,0.0, 
6786.655206,704051162787.2323,5638924336072.942,87000000.0,0.0,-7.125,1.125,0.0549019612,0.0, 5.0
6850.76156,704051162787.2323,5638924336072.942,87000000.0,0.0,-7.125,1.125,0.0,0.0, 5.0
6919.808643,,,,0.0,-7.125,1.125,0.0392156877,0.0, 
6986.140883,704051173784.7506,5638924355062.385,87000000.0,0.0625,-7.0,1.25,0.0392156877,1.0, 5.0
7050.968747,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.0,1.1875,-0.0156862754,0.0, 5.0
7121.047393,,,,0.0,-7.125,1.1875,0.0392156877,0.0, 
7185.088018,704051173784.7506,5638924355062.385,87000000.0,0.0625,-7.1875,1.1875,0.0392156877,0.0, 5.0
7254.66958,704051162059.198,5638924354601.661,87000000.0,0.0,-7.125,1.1875,0.0549019612,0.0, 5.0
7318.359737,,,,359.9375,-7.125,1.1875,0.0,1.0, 
7387.092549,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,0.0549019612,0.0, 5.0
7450.410101,704051174512.7852,5638924336533.667,87000000.0,359.9375,-7.125,1.125,0.0470588244,1.0, 5.0
7518.993539,,,,359.9375,-7.125,1.125,0.0392156877,0.0, 
7586.141455,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,0.0392156877,1.0, 5.0
7652.669216,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,0.0392156877,0.0, 5.0
7718.704111,,,,359.9375,-7.125,1.125,0.0392156877,1.0, 
7789.298851,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,-0.0156862754,1.0, 5.0
7854.897028,704051173784.7506,5638924355062.385,87000000.0,359.9375,-7.125,1.125,0.0549019612,0.0, 5.0
7919.222393,,,,359.9375,-7.125,1.125,0.0549019612,0.0, 
7987.147393,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,0.0549019612,0.0, 5.0
8050.850257,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,-0.0549019612,1.0, 5.0
8119.214007,,,,359.9375,-7.125,1.125,0.0392156877,0.0, 
8188.730205,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,0.0392156877,0.0, 5.0
8256.378382,704051161331.1636,5638924373130.378,87000000.0,359.9375,-7.125,1.125,0.0,0.0, 5.0
8321.384476,,,,359.9375,-7.125,1.125,0.0392156877,0.0, 
8385.772809,704051161331.1636,5638924373130.378,87000000.0,359.9375,-7.125,1.125,0.0549019612,0.0, 5.0
8456.496142,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,0.0549019612,0.0, 5.0
8517.392913,,,,359.9375,-7.125,1.125,0.0156862754,1.0, 
8586.211663,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,0.0392156877,0.0, 5.0
8655.912392,704051161331.1636,5638924373130.378,87000000.0,359.9375,-7.125,1.125,0.0392156877,0.0, 5.0
8721.773069,,,,359.9375,-7.125,1.125,0.0392156877,0.0, 
8786.181819,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,0.0392156877,1.0, 5.0
8856.503694,704051161331.1636,5638924373130.378,87000000.0,359.9375,-7.125,1.125,0.0392156877,0.0, 5.0
8918.457288,,,,359.9375,-7.125,1.125,0.0549019612,0.0, 
8987.248173,704051161331.1636,5638924373130.378,87000000.0,359.9375,-7.125,1.125,0.0156862754,1.0, 5.0
9054.14708,704051173784.7506,5638924355062.385,87000000.0,359.9375,-7.125,1.125,0.0549019612,0.0, 5.0
9118.448694,,,,359.9375,-7.125,1.125,0.0549019612,0.0, 
9189.361819,704051173784.7506,5638924355062.385,87000000.0,359.9375,-7.125,1.125,0.0392156877,0.0, 5.0
9252.073069,704051173784.7506,5638924355062.385,87000000.0,359.9375,-7.125,1.125,0.0078431377,1.0, 5.0
9320.686402,,,,359.9375,-7.125,1.125,0.0392156877,0.0, 
9386.12859,704051173784.7506,5638924355062.385,87000000.0,359.9375,-7.125,1.125,0.0313725509,0.0, 5.0
9461.379059,704051173784.7506,5638924355062.385,87000000.0,359.9375,-7.125,1.125,0.0156862754,0.0, 5.0
9521.440413,,,,359.9375,-7.125,1.125,0.0627451017,0.0, 
9591.122652,704051173784.7506,5638924355062.385,87000000.0,359.9375,-7.125,1.125,0.0549019612,0.0, 5.0
9652.854944,704051173784.7506,5638924355062.385,87000000.0,359.9375,-7.125,1.125,0.0627451017,0.0, 5.0
