gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
4,50.86343317,-0.093915833,56.7,5.25,-2.25,359,image0.jpg,3.148052
4,50.86343367,-0.093916667,56.7,5.3125,-2,358.875,image1.jpg,202.645558
4,50.863434,-0.093916667,56.7,5,-1.375,358.5625,image2.jpg,402.725635
4,50.86343467,-0.093917667,56.7,5.5625,-2,358.9375,image3.jpg,602.794042
4,50.86343567,-0.093918667,56.7,4.4375,-2.0625,359.125,image4.jpg,801.893596
4,50.8634365,-0.093919667,56.7,4.5625,-3.1875,359.75,image5.jpg,1001.947993
4,50.86343717,-0.093920333,56.7,5.375,-1.875,359.8125,image6.jpg,1202.663498
4,50.863438,-0.093921333,56.7,5.125,-2.6875,359.8125,image7.jpg,1402.075431
4,50.863439,-0.093922333,56.7,3.25,-3.4375,0.3125,image8.jpg,1602.172164
4,50.86343983,-0.093923167,56.7,5.4375,-3.5625,1.1875,image9.jpg,1802.213119
4,50.8634405,-0.093924,56.7,5.75,-2.375,2.0625,image10.jpg,2002.271417
4,50.8634415,-0.093925,56.7,6.5,-1.25,6.0625,image11.jpg,2202.340026
4,50.8634425,-0.093925833,56.7,7.5,-1.4375,7.6875,image12.jpg,2402.41926
4,50.86344333,-0.0939265,56.7,7.3125,-1.0625,7,image13.jpg,2602.504791
4,50.86344417,-0.093927333,56.7,7.1875,-1.5625,6.25,image14.jpg,2802.553189
4,50.863445,-0.093928167,56.7,6.9375,-1.5,6.25,image15.jpg,3002.625752
4,50.86344583,-0.093928833,56.7,7.25,-1.6875,6.75,image16.jpg,3203.358382
4,50.86344667,-0.093929333,56.7,6.9375,-0.5625,8.5,image17.jpg,3403.882638
4,50.8634475,-0.093930333,56.7,6.1875,-1.5,8.9375,image18.jpg,3603.712397
4,50.86344833,-0.093930833,56.7,6.1875,-1.75,9.125,image19.jpg,3803.70298
4,50.86344917,-0.0939315,56.7,4.875,-2.875,9.875,image20.jpg,4002.88262
4,50.86345,-0.093932,56.7,6.375,-2.0625,10.5,image21.jpg,4203.125845
4,50.863451,-0.093932667,56.7,6.0625,-3.5625,11.9375,image22.jpg,4404.091321
4,50.86345167,-0.093933333,56.7,7.1875,-1.375,11.5625,image23.jpg,4604.046433
4,50.86345233,-0.093933667,56.7,5,-1.3125,12.0625,image24.jpg,4804.16841
4,50.86345317,-0.093934333,56.7,6,-0.75,11.875,image25.jpg,5003.202793
4,50.863454,-0.093934667,56.7,4.25,-0.875,12.3125,image26.jpg,5203.285397
4,50.86345467,-0.093935333,56.7,5.0625,-1.9375,11.0625,image27.jpg,5404.287013
4,50.86345533,-0.093935833,56.7,3.875,-3.3125,10.5625,image28.jpg,5604.423307
4,50.863456,-0.093936333,56.7,5.0625,-2.6875,10.6875,image29.jpg,5804.44315
4,50.86345683,-0.093937,56.7,5.0625,-3.0625,11.125,image30.jpg,6003.523671
4,50.8634575,-0.093937167,56.7,5.125,-2.625,12.5625,image31.jpg,6203.53617
4,50.86345833,-0.093937833,56.7,5.9375,-1.6875,13.75,image32.jpg,6404.249672
4,50.86345917,-0.093938167,56.7,5.0625,-2.5625,15.5,image33.jpg,6603.741936
4,50.86345983,-0.093938667,56.7,6.125,-2.625,15.5,image34.jpg,6803.791199
4,50.86346067,-0.093939167,56.7,6.0625,-2.125,15.8125,image35.jpg,7003.884314
4,50.86346133,-0.093939667,56.7,5.625,-2.625,12.4375,image36.jpg,7203.934828
4,50.863462,-0.093940167,56.7,4.5,-1.5,10.25,image37.jpg,7404.126635
4,50.86346267,-0.093940833,56.7,5.375,-2.3125,10.3125,image38.jpg,7604.103346
4,50.86346367,-0.0939415,56.7,4.6875,-3.0625,10.5,image39.jpg,7804.197759
4,50.8634645,-0.093942,56.7,5.125,-3.375,11.8125,image40.jpg,8004.258319
4,50.86346533,-0.093942667,56.7,5.9375,-3.25,12.8125,image41.jpg,8204.24253
4,50.86346617,-0.093943,56.7,4.5625,-3.0625,14.0625,image42.jpg,8404.578543
4,50.863467,-0.0939435,56.7,4.5625,-1.875,13.75,image43.jpg,8605.571234
4,50.86346767,-0.093944,56.7,4.125,-2.0625,13.5,image44.jpg,8805.360451
4,50.86346867,-0.0939445,56.7,5.25,-1.75,13.25,image45.jpg,9005.410121
4,50.86346917,-0.093945,56.7,5.75,-0.3125,13.75,image46.jpg,9204.572082
4,50.86347,-0.0939455,56.7,4.9375,-2.1875,12.375,image47.jpg,9404.644251
4,50.86347083,-0.093946167,56.7,4.125,-1.5,9.125,image48.jpg,9605.429709
4,50.8634715,-0.093947167,56.7,9.125,-1.4375,7.9375,image49.jpg,9805.707488
4,50.8634725,-0.093947833,56.7,6,-1.6875,8.3125,image50.jpg,10005.76257
4,50.8634735,-0.093948667,56.7,8.5625,-1.75,7.875,image51.jpg,10204.88802
4,50.8634745,-0.0939495,56.7,7.375,-1.625,8.375,image52.jpg,10404.95633
4,50.8634755,-0.09395,56.7,7.25,-1.9375,9.1875,image53.jpg,10605.522
4,50.86347633,-0.093951167,56.7,7.5625,-1.875,9.25,image54.jpg,10806.18231
4,50.8634775,-0.093951833,56.7,6.6875,-2.8125,9.5,image55.jpg,11006.1251
4,50.8634785,-0.093952667,56.7,6.5625,-3.8125,10.125,image56.jpg,11206.00862
4,50.8634795,-0.0939535,56.7,6.875,-3.5625,10.0625,image57.jpg,11405.30557
4,50.86348067,-0.093954167,56.7,5.6875,-2.8125,10,image58.jpg,11605.63281
4,50.86348167,-0.093954833,56.7,6.5,-2.125,10.5,image59.jpg,11805.60216
4,50.86348267,-0.093955667,56.7,5.125,-1.6875,10.25,image60.jpg,12005.47896
4,50.86348367,-0.093956333,56.7,4.75,-1.5,10.625,image61.jpg,12205.50076
4,50.86348467,-0.093957167,56.7,5.4375,-1.375,10.5,image62.jpg,12405.59536
4,50.86348567,-0.093957833,56.7,4.5,-1.5,8.0625,image63.jpg,12605.59736
4,50.8634865,-0.093958667,56.7,7,-1.5625,8,image64.jpg,12805.69909
4,50.8634875,-0.0939595,56.7,6.375,-2.3125,9.6875,image65.jpg,13005.76327
4,50.8634885,-0.093960167,56.7,6.0625,-2.25,11.375,image66.jpg,13205.84542
4,50.8634895,-0.093960833,56.7,8.3125,-2.75,12.0625,image67.jpg,13405.91112
4,50.8634905,-0.093961667,56.7,6.75,-3.125,11.9375,image68.jpg,13605.97707
4,50.8634915,-0.093962333,56.7,6.5625,-3,11.0625,image69.jpg,13806.88583
4,50.86349233,-0.093963,56.7,7.5,-2.9375,10.9375,image70.jpg,14007.05636
4,50.8634935,-0.093963667,56.7,6.25,-2.6875,11.0625,image71.jpg,14207.15923
4,50.86349467,-0.0939645,56.7,6.75,-2.5625,12.375,image72.jpg,14406.55116
4,50.86349567,-0.093965167,56.7,6.9375,-1.25,12.375,image73.jpg,14606.29472
4,50.86349683,-0.093965833,56.7,8.0625,-1.3125,12.0625,image74.jpg,14806.847
4,50.863498,-0.093966667,56.7,7.125,-3.125,12.375,image75.jpg,15007.3537
4,50.863499,-0.0939675,56.7,9,-2.4375,12.5,image76.jpg,15207.53161
4,50.8635,-0.093968,56.7,6.9375,-1.125,11.625,image77.jpg,15407.47595
4,50.86350083,-0.093968833,56.7,8.125,-1,10.8125,image78.jpg,15606.63913
4,50.86350183,-0.0939695,56.7,8.4375,-1.4375,11.5625,image79.jpg,15806.91339
4,50.86350267,-0.093970167,56.7,8.5,-0.625,11.3125,image80.jpg,16007.70518
4,50.86350367,-0.093970667,56.7,9.0625,0.0625,15.25,image81.jpg,16207.76914
4,50.86350483,-0.093971167,56.7,8.6875,-0.1875,20.875,image82.jpg,16407.84773
4,50.863506,-0.093971333,56.7,8,-0.875,26.75,image83.jpg,16606.98013
4,50.86350717,-0.0939715,56.7,6,0,30.1875,image84.jpg,16806.95612
4,50.8635085,-0.093971667,56.8,5.875,0.375,28.3125,image85.jpg,17007.11465
4,50.86350983,-0.093972167,56.8,7.25,-0.375,25.6875,image86.jpg,17207.18658
4,50.86351133,-0.0939725,56.8,6.9375,-0.25,22.5625,image87.jpg,17407.27074
4,50.8635125,-0.093973167,56.8,8.5,-0.5,21.4375,image88.jpg,17607.32542
4,50.86351367,-0.093973667,56.8,6.75,-0.75,21.375,image89.jpg,17807.39302
4,50.86351483,-0.093974167,56.8,6.125,-1.3125,18.8125,image90.jpg,18007.71972
