Frame,Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
354,23795.784887,704049240.2456714,5638927197.815619,85859.95117203737,2.0625,-3.9375,2.8125,-0.360784322,0.0,5.0,30U,704049.2402456714,5638927.197815619,85859.95117203737,-60.2163397644523,-66.98347011002647
355,23863.7152,704049242.0760361,5638927194.617508,85855.21599278657,2.25,-3.375,3.0625,-0.360784322,1.0,,,704049.242076036,5638927.194617508,85855.21599278657,-70.88078670363552,-67.17097011002647
356,23930.744939,704049255.9658637,5638927154.549537,85853.73393724671,4.9375,-0.625,3.75,-0.3686274588,0.0,5.0,30U,704049.2559658637,5638927.154549538,85853.73393724671,-71.14490629137958,-69.85847011002647
357,23994.529627,704049263.8364047,5638927131.502642,85850.73717723865,5.9375,-2.5,5.9375,-0.3137255013,1.0,5.0,30U,704049.2638364045,5638927.131502642,85850.73717723865,-70.69149764512099,-70.85847011002647
358,24063.175825,704049271.7266538,5638927108.98234,85847.20008210752,6.0625,-1.5,5.6875,-0.1960784346,0.0,,,704049.2717266537,5638927.108982341,85847.20008210752,-70.99528145101863,-70.98347011002647
359,24131.581241,704049284.2623974,5638927072.585635,85845.09240902991,6.25,-1.1875,6.25,-0.1333333403,0.0,5.0,30U,704049.2842623973,5638927.072585636,85845.09240902991,-70.71992571196967,-71.17097011002647
360,24193.143324,704049293.6043726,5638927045.879373,85842.37865391342,6.625,-0.0625,6.5,-0.1333333403,0.0,5.0,30U,704049.2936043724,5638927.045879372,85842.37865391342,-70.89566938201995,-71.54597011002647
361,24263.79697,704049305.2447689,5638927012.272127,85839.39115775221,6.1875,-0.375,6.5,0.0235294122,0.0,,,704049.3052447687,5638927.012272129,85839.39115775221,-71.01300106321304,-71.10847011002647
362,24331.974626,704049318.8381274,5638926972.765028,85837.35002173725,6.8125,-0.25,7.0,-0.0627451017,1.0,5.0,30U,704049.3188381273,5638926.972765029,85837.35002173725,-71.15552419911944,-71.73347011002647
363,24395.304522,704049330.5809833,5638926938.358187,85834.93106301795,5.75,-0.3125,7.5,0.0549019612,0.0,,,704049.3305809831,5638926.938358188,85834.93106301795,-71.15082971799251,-70.67097011002647
