Frame,Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
118,8338.560831,704051612.8355578,5638921381.299732,93884.05366828374,8.8125,-3.125,10.3125,0.9098039269,23.0,2.0,30U,704051.612835558,5638921.381299731,93884.05366828374,-70.09527279322435,-71.58967488988799
119,8412.113174,704051636.5100319,5638921315.916575,93902.61416166024,11.0,-3.0,10.4375,0.9568627477,21.0,2.0,30U,704051.6365100319,5638921.315916575,93902.61416166024,-72.25235022315059,-73.77717488988799
120,8527.067393,704051673.3054247,5638921200.951558,93928.28344265488,14.1875,-2.1875,10.8125,0.980392158,19.0,2.0,30U,704051.6733054247,5638921.200951559,93928.28344265488,-74.53683273935917,-76.96467488988799
121,8589.617914,704051690.9646487,5638921137.115126,93939.20382893278,15.75,-1.75,10.875,0.9568627477,14.0,,,704051.6909646487,5638921.137115126,93939.20382893278,-73.14587166163818,-78.52717488988799
122,8661.50833,704051713.6613255,5638921062.195973,93955.05929379349,17.3125,-1.6875,10.4375,0.9882352948,10.0,2.0,30U,704051.7136613255,5638921.0621959735,93955.05929379349,-74.23834343172308,-80.08967488988799
123,8732.721143,704051735.1382087,5638920986.10395,93970.36141033388,19.125,-1.125,11.0,0.9882352948,8.0,2.0,30U,704051.7351382087,5638920.986103949,93970.36141033388,-75.44004964263968,-81.90217488988799
124,8790.237549,704051751.3201725,5638920923.801934,93982.62087530216,19.4375,-1.125,10.9375,0.9725490212,8.0,,,704051.7513201727,5638920.923801934,93982.62087530216,-74.88706403144374,-82.21467488988799
125,8857.694841,704051771.3797892,5638920849.524372,93998.1269972034,20.375,-1.3125,11.1875,1.003921628,6.0,2.0,30U,704051.7713797891,5638920.849524372,93998.12699720342,-74.39436229133378,-83.15217488988799
126,8923.982289,704051791.4501878,5638920777.667579,94013.88518307534,20.875,-1.3125,10.9375,1.003921628,2.0,2.0,30U,704051.7914501878,5638920.77766758,94013.88518307534,-75.0026936954967,-83.65217488988799
127,8987.064476,704051809.932473,5638920708.677779,94029.13980910316,20.9375,-1.3125,11.3125,1.003921628,0.0,,,704051.8099324728,5638920.70867778,94029.13980910316,-73.5189671554208,-83.71467488988799
