gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
5,50.8651125000,-0.0919561667,75.2000000000,1.3125000000,-5.2500000000,358.0625000000,image0.jpg,3.0006770000
5,50.8651098333,-0.0919530000,75.0000000000,1.0000000000,-5.2500000000,358.0625000000,image1.jpg,201.5143750000
5,50.8651095000,-0.0919521667,75.0000000000,2.1875000000,-5.1250000000,357.1875000000,image2.jpg,402.1120310000
5,50.8651088333,-0.0919511667,75.0000000000,1.7500000000,-4.1875000000,358.0625000000,image3.jpg,602.8565100000
5,50.8651081667,-0.0919498333,74.9000000000,1.7500000000,-5.5000000000,357.9375000000,image4.jpg,802.7856250000
5,50.8651075000,-0.0919491667,74.9000000000,2.2500000000,-5.5625000000,358.4375000000,image5.jpg,1002.9964060000
5,50.8651070000,-0.0919480000,74.9000000000,2.2500000000,-5.6875000000,358.3125000000,image6.jpg,1202.2668750000
5,50.8651063333,-0.0919466667,74.9000000000,2.1250000000,-4.9375000000,358.0000000000,image7.jpg,1402.1568750000
5,50.8651055000,-0.0919456667,74.9000000000,1.7500000000,-5.5625000000,358.1250000000,image8.jpg,1602.3031770000
5,50.8651046667,-0.0919441667,74.9000000000,1.6250000000,-6.0625000000,357.5000000000,image9.jpg,1803.0551560000
5,50.8651038333,-0.0919430000,74.8000000000,0.7500000000,-7.0000000000,357.5625000000,image10.jpg,2003.2530200000
5,50.8651030000,-0.0919416667,74.8000000000,0.8125000000,-5.8750000000,357.6250000000,image11.jpg,2203.4835930000
5,50.8651023333,-0.0919405000,74.8000000000,1.3125000000,-5.6250000000,357.1250000000,image12.jpg,2403.6020830000
5,50.8651016667,-0.0919388333,74.8000000000,0.6250000000,-4.3750000000,357.0625000000,image13.jpg,2602.6065100000
5,50.8651010000,-0.0919375000,74.7000000000,0.5625000000,-5.4375000000,356.6875000000,image14.jpg,2802.6306240000
5,50.8651003333,-0.0919358333,74.7000000000,1.4375000000,-4.1875000000,356.5625000000,image15.jpg,3002.8963010000
5,50.8650995000,-0.0919346667,74.7000000000,0.8750000000,-3.8125000000,356.4375000000,image16.jpg,3202.9432800000
5,50.8650988333,-0.0919331667,74.7000000000,0.5625000000,-3.9375000000,356.0000000000,image17.jpg,3403.0118740000
5,50.8650981667,-0.0919318333,74.6000000000,1.6250000000,-4.1250000000,356.2500000000,image18.jpg,3602.8295300000
5,50.8650975000,-0.0919306667,74.6000000000,1.0000000000,-3.9375000000,355.9375000000,image19.jpg,3803.0216650000
5,50.8650968333,-0.0919293333,74.6000000000,1.6250000000,-3.9375000000,355.0625000000,image20.jpg,4003.1503110000
5,50.8650961667,-0.0919278333,74.6000000000,1.1250000000,-4.1250000000,355.3125000000,image21.jpg,4203.2357280000
5,50.8650955000,-0.0919266667,74.6000000000,0.3125000000,-4.7500000000,355.3125000000,image22.jpg,4403.5584360000
5,50.8650945000,-0.0919250000,74.6000000000,1.5000000000,-5.0625000000,356.6250000000,image23.jpg,4603.4205710000
5,50.8650935000,-0.0919231667,74.5000000000,1.0000000000,-5.1875000000,358.8750000000,image24.jpg,4803.3917170000
5,50.8650923333,-0.0919216667,74.5000000000,1.2500000000,-4.6250000000,358.6250000000,image25.jpg,5003.5448940000
5,50.8650916667,-0.0919200000,74.5000000000,2.1875000000,-3.6875000000,358.3125000000,image26.jpg,5203.6374460000
5,50.8650905000,-0.0919183333,74.5000000000,0.9375000000,-3.8750000000,358.0625000000,image27.jpg,5403.6341650000
5,50.8650896667,-0.0919170000,74.4000000000,0.6250000000,-3.2500000000,358.6875000000,image28.jpg,5604.1432790000
5,50.8650888333,-0.0919148333,74.4000000000,-0.9375000000,-4.0625000000,358.0625000000,image29.jpg,5804.9872370000
5,50.8650875000,-0.0919135000,74.4000000000,0.4375000000,-3.8125000000,357.3125000000,image30.jpg,6004.8931230000
5,50.8650866667,-0.0919121667,74.4000000000,0.8750000000,-3.1875000000,357.2500000000,image31.jpg,6205.1313520000
