speed,steering angle,gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
0.0392156877,0.0000000000,5,50.8680441667,-0.0982003333,73.6000000000,0.0000000000,-4.5625000000,359.9375000000,image0.jpg,58.9810420000
0.0392156877,1.0000000000,5,50.8680440000,-0.0981993333,73.8000000000,0.0000000000,-4.5625000000,359.9375000000,image1.jpg,125.9814060000
0.0549019612,0.0000000000,5,50.8680440000,-0.0981993333,73.8000000000,0.0000000000,-4.5625000000,359.9375000000,image3.jpg,255.5267710000
0.0549019612,0.0000000000,5,50.8680440000,-0.0981991667,73.8000000000,0.0000000000,-4.5625000000,359.9375000000,image4.jpg,324.4677080000
0.0000000000,0.0000000000,5,50.8680440000,-0.0981993333,73.8000000000,0.0000000000,-4.5625000000,359.9375000000,image6.jpg,455.6176560000
0.0392156877,0.0000000000,5,50.8680440000,-0.0981991667,73.8000000000,0.0000000000,-4.5625000000,359.9375000000,image7.jpg,523.0907810000
0.0392156877,0.0000000000,5,50.8680440000,-0.0981991667,73.8000000000,0.0000000000,-4.6875000000,359.8125000000,image9.jpg,655.5786980000
0.0392156877,1.0000000000,5,50.8680440000,-0.0981991667,73.8000000000,0.0000000000,-4.5000000000,359.9375000000,image10.jpg,722.8618230000
0.0627451017,1.0000000000,5,50.8680440000,-0.0981990000,73.8000000000,-0.0625000000,-4.5625000000,359.8125000000,image12.jpg,855.6149480000
0.0156862754,0.0000000000,5,50.8680440000,-0.0981991667,73.8000000000,-0.0625000000,-4.5000000000,359.8125000000,image13.jpg,923.1745830000
0.1254902035,0.0000000000,5,50.8680440000,-0.0981991667,73.8000000000,-0.0625000000,-4.5625000000,359.8125000000,image15.jpg,1059.4828640000
0.1490196139,0.0000000000,5,50.8680440000,-0.0981990000,73.8000000000,-0.0625000000,-4.5625000000,359.8125000000,image16.jpg,1124.4732290000
0.1568627506,0.0000000000,5,50.8680440000,-0.0981990000,73.8000000000,-0.0625000000,-4.5625000000,359.8750000000,image18.jpg,1254.9917180000
0.1568627506,0.0000000000,5,50.8680440000,-0.0981990000,73.7000000000,-0.0625000000,-4.5625000000,359.8750000000,image19.jpg,1324.1951040000
0.2274509817,1.0000000000,5,50.8680440000,-0.0981990000,73.7000000000,0.0000000000,-4.5000000000,359.8125000000,image21.jpg,1454.9620830000
0.2823529541,0.0000000000,5,50.8680440000,-0.0981990000,73.7000000000,0.0000000000,-4.5625000000,359.8750000000,image22.jpg,1524.1052600000
0.2588235438,1.0000000000,5,50.8680440000,-0.0981990000,73.7000000000,1.0625000000,-4.3125000000,359.1250000000,image24.jpg,1654.9055720000
