Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
310641.605038,704144017.6463658,5638617261.28544,95400.0,59.0625,7.75,10.5625,1.003921628,16.0,image4479.jpg,2.0,30U,704144.0561286858,5638617.273285153,95459.25204560129,-106.22114389169872,-119.2379375463518
310709.654204,704143998.5636227,5638617149.191368,95400.0,59.5,9.5,8.75,1.003921628,14.0,image4480.jpg,2.0,30U,704144.0326298305,5638617.192512833,95455.97688608084,-106.35753504031564,-119.6754375463518
310776.87561,704143957.4849607,5638616999.1180525,95300.0,60.5625,8.3125,7.375,1.003921628,13.0,image4481.jpg,2.0,30U,704144.0092953792,5638617.113011672,95452.91218081817,-106.59646329193087,-120.7379375463518
310849.270871,,,,62.375,8.875,8.0,1.003921628,8.0,image4482.jpg,,,704143.9840083444,5638617.028168872,95449.94094996458,-107.0069037538796,-122.5504375463518
310983.209933,704143911.9629732,5638616663.296752,95300.0,64.25,9.875,8.1875,1.003921628,1.0,image4483.jpg,2.0,30U,704143.9365416786,5638616.872979286,95445.31033668866,-107.29252830746287,-124.4254375463518
311044.007433,,,,64.9375,10.3125,7.125,1.003921628,1.0,image4484.jpg,,,704143.9145396445,5638616.802306429,95443.15274884977,-107.58927223711088,-125.1129375463518
311119.165246,704143928.0589844,5638616552.5854225,95400.0,64.625,10.25,6.9375,1.003921628,3.0,image4485.jpg,2.0,30U,704143.8869988234,5638616.715430326,95440.637996665,-107.8020991070295,-124.8004375463518
311245.169777,704143875.982353,5638616383.522487,95400.0,65.0,11.0,7.1875,1.003921628,0.0,image4486.jpg,2.0,30U,704143.8406253081,5638616.571011916,95436.93438587344,-108.38002786188808,-125.1754375463518
311312.701964,704143855.4430164,5638616308.485828,95500.0,64.0,10.0625,8.125,1.003921628,2.0,image4487.jpg,2.0,30U,704143.8151212787,5638616.494254653,95434.93511118744,-108.71709377251544,-124.1754375463518
311378.092641,704143848.8148111,5638616178.323964,95500.0,63.6875,11.125,7.375,1.003921628,13.0,image4488.jpg,2.0,30U,704143.7902050903,5638616.420715198,95432.87202826358,-109.07185198368336,-123.8629375463518
311446.627329,,,,63.0625,11.75,8.125,1.003921628,17.0,image4489.jpg,,,704143.7637893679,5638616.344309768,95430.5750270234,-109.58533687833123,-123.2379375463518
311503.237381,704143831.1886432,5638616029.17248,95500.0,63.75,11.5625,8.25,1.003921628,19.0,image4490.jpg,2.0,30U,704143.7415332498,5638616.281756674,95428.76171592664,-109.71368239724563,-123.9254375463518
311571.259829,704143779.1120017,5638615860.109546,95500.0,65.0,13.5,7.625,1.003921628,22.0,image4491.jpg,2.0,30U,704143.7147716625,5638616.207070662,95426.62651837706,-109.88179558064326,-125.1754375463518
311652.183214,,,,66.875,14.75,5.75,1.003921628,18.0,image4492.jpg,,,704143.6827580024,5638616.118546031,95424.10207865572,-109.5657169872668,-127.0504375463518
311785.585558,704143688.1415464,5638615485.387177,95500.0,70.9375,13.6875,8.4375,1.003921628,6.0,image4493.jpg,2.0,30U,704143.6301157294,5638615.970428964,95421.19050964616,-110.01775213157144,-131.1129375463518
311908.119516,704143658.0608217,5638615354.303485,95500.0,71.1875,12.5,6.0625,1.003921628,0.0,image4494.jpg,2.0,30U,704143.5811977426,5638615.836157356,95418.52544626582,-110.25403939544005,-131.3629375463518
312045.421443,704143636.7931848,5638615297.795537,95500.0,70.5625,11.625,5.625,1.003921628,0.0,image4495.jpg,2.0,30U,704143.5258694085,5638615.686215899,95415.75585300608,-112.41010525922144,-130.7379375463518
312111.249516,704143615.5255473,5638615241.287589,95600.0,71.0,11.5,6.3125,1.003921628,2.0,image4496.jpg,2.0,30U,704143.4980992227,5638615.618874092,95413.77548791828,-112.5861333546458,-131.1754375463518
312181.622172,704143570.077105,5638615202.3865185,95500.0,70.25,10.1875,5.5625,1.003921628,5.0,image4497.jpg,2.0,30U,704143.4683562828,5638615.547372498,95411.52298927134,-113.772249824197,-130.4254375463518
312240.63311,,,,70.4375,9.375,5.375,1.003921628,8.0,image4498.jpg,,,704143.4428793709,5638615.489532751,95409.24537095308,-112.92231751151972,-130.6129375463518
312316.881912,704143501.9044405,5638615144.034919,95500.0,70.4375,8.5,5.375,1.003921628,13.0,image4499.jpg,2.0,30U,704143.410241901,5638615.41235292,95407.20668433372,-114.28234982004408,-130.6129375463518
312377.69686,704143421.2772269,5638615103.751111,95500.0,70.5625,8.6875,4.5625,1.003921628,14.0,image4500.jpg,2.0,30U,704143.383664542,5638615.353442214,95405.08762544408,-114.07571884226252,-130.7379375463518
312444.283266,,,,71.6875,8.5625,4.5,1.003921628,17.0,image4501.jpg,,,704143.3546288662,5638615.288458278,95402.80485951484,-114.3405878054582,-131.8629375463518
312511.213162,704143353.8328501,5638615026.870803,95500.0,73.5,9.0,3.9375,1.003921628,17.0,image4502.jpg,2.0,30U,704143.3251628411,5638615.223321334,95400.84627339724,-114.11205998861544,-133.6754375463518
312584.031131,704143296.6581453,5638614987.508823,95500.0,74.8125,9.1875,4.75,1.003921628,17.0,image4503.jpg,2.0,30U,704143.2932408759,5638615.151999167,95398.87959992811,-112.33670805587909,-134.9879375463518
312713.403526,704143251.9379885,5638614930.079051,95500.0,77.8125,9.375,5.0625,1.003921628,15.0,image4504.jpg,2.0,30U,704143.2376783426,5638615.016770555,95397.30315248577,-113.96804349206496,-137.9879375463518
312795.994776,704143181.580447,5638614927.313577,95500.0,79.3125,9.75,5.0625,1.003921628,7.0,image4505.jpg,2.0,30U,704143.2012828152,5638614.934902004,95395.49790164657,-112.94118913370914,-139.4879375463518
312908.810193,704143123.677452,5638614906.480305,95400.0,80.6875,8.5625,4.875,1.003921628,0.0,image4506.jpg,2.0,30U,704143.152095635,5638614.81869277,95394.19332687232,-115.09207175768135,-140.8629375463518
312972.890401,704143105.3229657,5638614775.857528,95500.0,81.125,11.3125,5.75,1.003921628,0.0,image4507.jpg,2.0,30U,704143.1233830673,5638614.757375916,95392.5331487363,-114.0645277156427,-141.3004375463518
313054.087016,704143073.7856416,5638614681.831257,95400.0,80.4375,10.5625,6.125,1.003921628,1.0,image4508.jpg,2.0,30U,704143.0873193075,5638614.676620275,95391.15360574596,-112.79889060214651,-140.6129375463518
313178.364516,704142994.6149961,5638614604.490041,95400.0,78.75,9.3125,7.375,1.003921628,-1.0,image4509.jpg,2.0,30U,704143.0327126782,5638614.546709196,95390.90994147008,-114.66531900518626,-138.9254375463518
313246.579568,,,,78.5,9.125,7.0,1.003921628,-2.0,image4510.jpg,,,704143.0020905542,5638614.480025631,95389.90438943292,-115.53832328365854,-138.6754375463518
313305.901599,704142913.9877703,5638614564.206243,95400.0,78.6875,8.1875,8.0625,1.003921628,-7.0,image4511.jpg,2.0,30U,704142.9750565906,5638614.423445174,95388.9848212822,-114.5988927187459,-138.8629375463518
313374.420245,704142842.9019351,5638614579.969478,95300.0,77.6875,8.75,7.5,1.003921628,-7.0,image4512.jpg,2.0,30U,704142.9441629366,5638614.355964135,95388.60876299924,-114.32541402852183,-137.8629375463518
313442.841339,,,,76.8125,9.0625,8.0625,1.003921628,-7.0,image4513.jpg,,,704142.9134682752,5638614.288063315,95388.82419256636,-114.58554979190058,-136.9879375463518
313510.446286,704142797.4534813,5638614541.068417,95300.0,75.125,8.5,7.875,1.003921628,-3.0,image4514.jpg,2.0,30U,704142.882788016,5638614.22100714,95389.32270314044,-113.912704301468,-135.3004375463518
313585.877172,704142776.9141195,5638614466.031765,95300.0,73.75,8.75,8.1875,1.003921628,1.0,image4515.jpg,2.0,30U,704142.8487321547,5638614.144201703,95390.67935758411,-112.71644776503967,-133.9254375463518
313713.054932,704142732.1939524,5638614408.6019945,95300.0,71.75,8.3125,8.9375,1.003921628,0.0,image4516.jpg,2.0,30U,704142.7915426807,5638614.007596029,95394.5457935196,-113.83786956802987,-131.9254375463518
313778.437641,704142675.747526,5638614350.711317,95300.0,71.625,8.9375,7.75,1.003921628,0.0,image4517.jpg,2.0,30U,704142.7618432835,5638613.940378841,95396.61689969576,-113.610182964984,-131.8004375463518
313838.469463,,,,71.25,9.5,8.9375,1.003921628,1.0,image4518.jpg,,,704142.7346601689,5638613.87818928,95398.95184492826,-113.2543281841019,-131.4254375463518
313913.313682,704142644.9384788,5638614238.15634,95300.0,70.875,9.125,9.0625,1.003921628,0.0,image4519.jpg,2.0,30U,704142.7005447074,5638613.798799928,95402.3187539106,-113.29768604801347,-131.0504375463518
313975.131911,704142604.5880345,5638614069.554331,95300.0,70.5625,10.5625,9.4375,1.003921628,2.0,image4520.jpg,2.0,30U,704142.672314771,5638613.733243462,95405.4951276313,-112.50984345038262,-130.7379375463518
314072.872484,704142562.0527225,5638613956.538443,95300.0,70.1875,10.375,8.625,1.003921628,1.0,image4521.jpg,2.0,30U,704142.6276699976,5638613.625513797,95410.80412362138,-112.30843242599818,-130.3629375463518
314176.378942,704142529.7870948,5638613881.04088,95300.0,70.75,11.0625,9.625,1.003921628,0.0,image4522.jpg,2.0,30U,704142.580295229,5638613.510050581,95416.93620029892,-112.25728307968257,-130.9254375463518
314263.565974,704142507.7911508,5638613843.061642,95300.0,70.0625,11.8125,9.3125,1.003921628,2.0,image4523.jpg,2.0,30U,704142.5402835623,5638613.412284503,95422.76006911004,-112.04099933048444,-130.2379375463518
314384.521599,704142476.2538089,5638613749.035373,95400.0,69.5,11.5,9.0625,1.003921628,10.0,image4524.jpg,2.0,30U,704142.4844270634,5638613.274319137,95430.84242107908,-111.93306842281646,-129.6754375463518
314520.884359,704142459.3558735,5638613581.355187,95400.0,71.125,12.5625,9.75,1.003921628,14.0,image4525.jpg,2.0,30U,704142.421098106,5638613.117045757,95440.12325141298,-111.90445351222434,-131.3004375463518
314646.354307,704142430.7316762,5638613413.214091,95400.0,72.8125,13.6875,8.9375,1.003921628,3.0,image4526.jpg,2.0,30U,704142.3623600794,5638612.970963138,95449.23985083126,-111.43040410506262,-132.9879375463518
314711.824619,704142389.6529292,5638613263.14079,95400.0,74.3125,13.8125,8.75,1.003921628,1.0,image4527.jpg,2.0,30U,704142.3316677978,5638612.8927678345,95455.36957196906,-111.30372430592756,-134.4879375463518
314784.435973,704142338.3044914,5638613075.549165,95400.0,74.5,14.1875,8.4375,1.003921628,0.0,image4528.jpg,2.0,30U,704142.2974999396,5638612.805148639,95462.07426963792,-111.04589732591508,-134.6754375463518
314845.027223,,,,74.5,14.6875,8.1875,1.003921628,-1.0,image4529.jpg,,,704142.2688478492,5638612.730685735,95468.339282449,-111.10181778357568,-134.6754375463518
314910.703942,704142286.2277628,5638612906.486248,95500.0,74.0,14.375,8.0,1.003921628,-1.0,image4530.jpg,2.0,30U,704142.2376515928,5638612.649846383,95474.9761330488,-111.2115553591358,-134.1754375463518
314994.738786,704142234.8793164,5638612718.894625,95500.0,73.875,13.375,7.8125,1.003921628,0.0,image4531.jpg,2.0,30U,704142.1976135826,5638612.546683946,95482.76005017008,-111.64789680776138,-134.0504375463518
315114.391963,704142160.0783411,5638612530.381181,95400.0,73.25,12.1875,7.375,1.003921628,4.0,image4532.jpg,2.0,30U,704142.1399049137,5638612.401283724,95492.87842046192,-111.2017244576178,-133.4254375463518
315202.049932,704142083.8207889,5638612378.925154,95500.0,73.0,11.5,7.125,1.003921628,13.0,image4533.jpg,2.0,30U,704142.0976998572,5638612.292482305,95501.40567988092,-111.44948450587574,-133.1754375463518
315313.451338,704142009.7480873,5638612171.883004,95500.0,74.0,11.4375,7.625,1.003921628,18.0,image4534.jpg,2.0,30U,704142.0438129754,5638612.155327993,95511.65261192792,-110.64523297943332,-134.1754375463518
315380.307067,704141981.852148,5638611985.213203,95500.0,75.625,10.875,6.875,1.003921628,15.0,image4535.jpg,2.0,30U,704142.0116664607,5638612.070008156,95519.21111756096,-110.75411823903642,-135.8004375463518
315455.513473,704141953.2279215,5638611817.072108,95500.0,78.0625,11.25,7.0,1.003921628,13.0,image4536.jpg,2.0,30U,704141.9755186692,5638611.9746183865,95527.49938515844,-111.62725192196608,-138.2379375463518
315582.632692,704141910.6925741,5638611704.056229,95500.0,81.125,11.5625,7.0,1.003921628,0.0,image4537.jpg,2.0,30U,704141.9133855592,5638611.817905879,95539.41561641327,-110.6217783362317,-141.3004375463518
315651.155921,,,,80.875,11.625,6.375,1.003921628,2.0,image4538.jpg,,,704141.8803398228,5638611.730090486,95547.68502670409,-110.46596485942796,-141.0504375463518
315715.144202,704141893.0663226,5638611554.904753,95500.0,80.75,11.3125,6.375,1.003921628,9.0,image4539.jpg,2.0,30U,704141.8493940373,5638611.6471721,95555.74895856997,-110.53675158362762,-140.9254375463518
315782.453994,704141783.8148016,5638611346.479879,95500.0,80.25,12.0625,6.875,1.003921628,9.0,image4540.jpg,2.0,30U,704141.816783081,5638611.560120399,95564.22906767672,-111.02688352137346,-140.4254375463518
315860.395192,704141731.0097485,5638611195.945677,95600.0,81.125,15.1875,10.875,1.003921628,1.0,image4541.jpg,2.0,30U,704141.7785507469,5638611.460661273,95573.58424756302,-111.84533286944868,-141.3004375463518
315977.841494,704141668.663277,5638610989.364444,95500.0,81.375,13.625,10.625,1.003921628,0.0,image4542.jpg,2.0,30U,704141.7198597263,5638611.314259297,95585.59133096076,-111.06171406715843,-141.5504375463518
316057.163369,704141615.1299324,5638610857.358949,95500.0,80.875,12.0625,11.3125,1.003921628,2.0,image4543.jpg,2.0,30U,704141.6809517139,5638611.213225866,95595.34098000066,-112.28860596097888,-141.0504375463518
316189.393942,704141581.4077009,5638610818.918808,95500.0,83.25,7.375,9.8125,1.003921628,13.0,image4544.jpg,2.0,30U,704141.6138950177,5638611.049632087,95608.70606554725,-112.36054363889676,-143.4254375463518
316318.852171,704141561.5965848,5638610725.353456,95600.0,84.1875,7.4375,10.125,1.003921628,9.0,image4545.jpg,2.0,30U,704141.5478807875,5638610.88915598,95622.07986800389,-110.59386395709704,-144.3629375463518
316378.787483,704141509.5198001,5638610556.290547,95600.0,86.375,9.625,10.9375,1.003921628,3.0,image4546.jpg,2.0,30U,704141.5187042275,5638610.811507752,95631.0565943724,-111.39102976215044,-146.5504375463518
316451.551285,704141445.7167444,5638610386.766731,95500.0,85.5625,9.125,6.0,1.003921628,0.0,image4547.jpg,2.0,30U,704141.4824320432,5638610.718909375,95640.91204851116,-112.81387993465805,-145.7379375463518
316584.84816,704141345.278317,5638610252.917605,95600.0,86.9375,8.875,6.8125,1.003921628,0.0,image4548.jpg,2.0,30U,704141.4131318601,5638610.554162485,95654.6843414944,-111.0257618011841,-147.1129375463518
316646.305973,,,,86.875,8.9375,7.75,1.003921628,0.0,image4549.jpg,,,704141.3829269422,5638610.475581608,95664.1448365697,-111.90428390141012,-147.0504375463518
316719.446754,704141259.4792798,5638610045.414563,95600.0,88.0625,8.1875,8.6875,1.003921628,2.0,image4550.jpg,2.0,30U,704141.3456564279,5638610.382888318,95674.16202810722,-111.1273052436089,-148.2379375463518
316776.931441,704141215.4873356,5638609969.4561,95600.0,86.8125,11.0,7.6875,1.003921628,0.0,image4551.jpg,2.0,30U,704141.3171940211,5638610.309230802,95683.23262974582,-112.03676754460449,-146.9879375463518
316851.781025,,,,86.6875,11.375,7.1875,1.003921628,0.0,image4552.jpg,,,704141.2790703201,5638610.21504539,95693.26445722024,-111.68045031697072,-146.8629375463518
316912.650764,704141196.4044899,5638609857.362043,95700.0,87.25,11.4375,7.9375,1.003921628,0.0,image4553.jpg,2.0,30U,704141.2482639698,5638610.137555498,95702.3490748833,-112.33280609922996,-147.4254375463518
316984.571962,704141240.3964355,5638609933.320503,95800.0,86.9375,13.25,8.9375,1.003921628,1.0,image4554.jpg,2.0,30U,704141.2110781004,5638610.047034645,95711.81335221682,-112.02348773661603,-147.1129375463518
317047.547171,,,,87.1875,13.875,8.9375,1.003921628,-1.0,image4555.jpg,,,704141.1787890301,5638609.967210621,95720.33008697188,-112.57690991584496,-147.3629375463518
317114.417275,704141222.7701536,5638609784.16903,95800.0,86.9375,14.5,8.125,1.003921628,-1.0,image4556.jpg,2.0,30U,704141.1436586148,5638609.882719262,95728.90256382944,-112.86135319047978,-147.1129375463518
