Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone
117.7414580000,704050.9766344546,5638924.2916439446,89900.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0549019612,0.0000000000,image0.jpg,5,30U
173.7657290000,nan,nan,nan,359.9375000000,-5.5000000000,4.1875000000,0.0156862754,0.0000000000,image1.jpg,nan,nan
240.1577080000,704050.9502712144,5638924.3648373680,89600.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0470588244,0.0000000000,image2.jpg,5,30U
308.8357290000,nan,nan,nan,359.9375000000,-5.5000000000,4.1875000000,0.0470588244,0.0000000000,image3.jpg,nan,nan
374.2775510000,704050.9502712144,5638924.3648373680,89600.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0470588244,0.0000000000,image4.jpg,5,30U
442.2537490000,704050.9502712144,5638924.3648373680,89600.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0156862754,2.0000000000,image5.jpg,5,30U
509.0208330000,nan,nan,nan,359.9375000000,-5.5000000000,4.1875000000,0.0235294122,0.0000000000,image6.jpg,nan,nan
577.1275510000,704050.9502712144,5638924.3648373680,89600.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0627451017,0.0000000000,image7.jpg,5,30U
641.6205200000,704050.9502712144,5638924.3648373680,89600.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0549019612,0.0000000000,image8.jpg,5,30U
711.2630720000,nan,nan,nan,359.9375000000,-5.5000000000,4.1875000000,0.0549019612,0.0000000000,image9.jpg,nan,nan
772.6765620000,704050.9502712144,5638924.3648373680,89600.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0156862754,0.0000000000,image10.jpg,5,30U
842.8544780000,704050.9502712144,5638924.3648373680,89600.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0470588244,0.0000000000,image11.jpg,5,30U
910.0579680000,nan,nan,nan,359.9375000000,-5.5000000000,4.1875000000,0.0470588244,2.0000000000,image12.jpg,nan,nan
981.1727600000,704050.9502712144,5638924.3648373680,89600.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0156862754,0.0000000000,image13.jpg,5,30U
1043.3339050000,704050.9502712144,5638924.3648373680,89500.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0470588244,0.0000000000,image14.jpg,5,30U
1108.3680720000,nan,nan,nan,359.9375000000,-5.5000000000,4.1875000000,0.0627451017,0.0000000000,image15.jpg,nan,nan
1180.1520300000,704050.9502712144,5638924.3648373680,89500.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0549019612,1.0000000000,image16.jpg,5,30U
1242.2806240000,704050.9502712144,5638924.3648373680,89500.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0235294122,0.0000000000,image17.jpg,5,30U
1309.8554680000,nan,nan,nan,359.9375000000,-5.5000000000,4.1875000000,0.0470588244,0.0000000000,image18.jpg,nan,nan
1375.1413010000,704050.9502712144,5638924.3648373680,89500.0000000000,359.9375000000,-5.5000000000,4.1875000000,0.0470588244,0.0000000000,image19.jpg,5,30U
1443.9084360000,704050.9619967670,5638924.3652980905,89500.0000000000,359.6875000000,-5.5625000000,4.0000000000,0.0470588244,0.0000000000,image20.jpg,5,30U
1510.1045820000,nan,nan,nan,0.0000000000,-5.5000000000,4.1250000000,0.0470588244,0.0000000000,image21.jpg,nan,nan
1572.6698950000,704050.9502712144,5638924.3648373680,89500.0000000000,359.9375000000,-5.5000000000,4.1250000000,0.0470588244,0.0000000000,image22.jpg,5,30U
1644.6222910000,704050.9502712144,5638924.3648373680,89500.0000000000,359.8750000000,-5.5000000000,4.0000000000,0.0627451017,2.0000000000,image23.jpg,5,30U
1710.8580720000,nan,nan,nan,359.8125000000,-5.5625000000,4.0000000000,0.0235294122,0.0000000000,image24.jpg,nan,nan
1780.0234360000,704050.9612687331,5638924.3838268081,89500.0000000000,359.8750000000,-5.5625000000,4.0625000000,0.0549019612,0.0000000000,image25.jpg,5,30U
1842.7647910000,704050.9495431806,5638924.3833660856,89500.0000000000,359.8750000000,-5.5000000000,4.1250000000,0.0470588244,0.0000000000,image26.jpg,5,30U
