Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone
120.0377610000,704045.9123424122,5638922.8678760426,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image0.jpg,2,30U
178.2398440000,704045.9856851138,5638923.0934456345,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image1.jpg,5,30U
244.1798440000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image2.jpg,nan,nan
312.2631250000,704045.9974106691,5638923.0939063458,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image3.jpg,5,30U
381.5707290000,704045.9974106691,5638923.0939063458,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image4.jpg,5,30U
443.5427080000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image5.jpg,nan,nan
510.5625520000,704046.0091362243,5638923.0943670571,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image6.jpg,5,30U
573.6229170000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image7.jpg,nan,nan
644.7443230000,704045.9966826533,5638923.1124350643,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image8.jpg,5,30U
710.7935940000,704046.0084082085,5638923.1128957756,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image9.jpg,5,30U
774.1536460000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image10.jpg,nan,nan
843.6781250000,704046.0084082085,5638923.1128957756,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image11.jpg,5,30U
915.2219790000,704046.0084082085,5638923.1128957756,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0470588244,35.0000000000,image12.jpg,5,30U
973.3838020000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image13.jpg,nan,nan
1042.5337500000,704046.0201337637,5638923.1133564869,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image14.jpg,5,30U
1110.2051040000,704046.0194057479,5638923.1318852045,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image15.jpg,5,30U
1175.8875520000,704046.0194057479,5638923.1318852045,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image16.jpg,5,30U
1242.0473430000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image17.jpg,nan,nan
1313.8816140000,704046.0194057479,5638923.1318852045,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image18.jpg,5,30U
1376.1281770000,704046.0194057479,5638923.1318852045,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image19.jpg,5,30U
1441.8093230000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image20.jpg,nan,nan
1510.8957810000,704046.0311313029,5638923.1323459158,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image21.jpg,5,30U
1578.4501560000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image22.jpg,nan,nan
1640.4963540000,704046.0304032870,5638923.1508746333,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image23.jpg,5,30U
1714.2805720000,704046.0304032870,5638923.1508746333,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image24.jpg,5,30U
1777.3959370000,704046.0421288421,5638923.1513353446,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image25.jpg,5,30U
1841.5691140000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image26.jpg,nan,nan
1909.4011450000,704046.0421288421,5638923.1513353446,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image27.jpg,5,30U
1979.6343740000,704046.0414008262,5638923.1698640632,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image28.jpg,5,30U
2041.2182290000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image29.jpg,nan,nan
2112.0468740000,704046.0421288421,5638923.1513353446,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image30.jpg,5,30U
2179.0070310000,704046.0414008262,5638923.1698640632,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image31.jpg,5,30U
2241.0654680000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image32.jpg,nan,nan
2311.4619780000,704046.0414008262,5638923.1698640632,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image33.jpg,5,30U
2379.9636970000,704046.0531263812,5638923.1703247745,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image34.jpg,5,30U
2446.2264060000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image35.jpg,nan,nan
2512.4824470000,704046.0531263812,5638923.1703247745,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image36.jpg,5,30U
2576.9412490000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image37.jpg,nan,nan
2645.0102600000,704046.0531263812,5638923.1703247745,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image38.jpg,5,30U
2713.2890100000,704046.0531263812,5638923.1703247745,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0156862754,35.0000000000,image39.jpg,5,30U
2777.7639050000,704046.0648519363,5638923.1707854858,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image40.jpg,5,30U
2845.1229680000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image41.jpg,nan,nan
2912.3419780000,704046.0523983653,5638923.1888534920,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image42.jpg,5,30U
2977.6351030000,704046.0523983653,5638923.1888534920,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image43.jpg,5,30U
3047.1964050000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image44.jpg,nan,nan
3108.4613010000,704046.0523983653,5638923.1888534920,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image45.jpg,5,30U
3180.5728110000,704046.0516703493,5638923.2073822105,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image46.jpg,5,30U
3246.0413010000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image47.jpg,nan,nan
3313.6465090000,704046.0516703493,5638923.2073822105,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image48.jpg,5,30U
3378.6385930000,704046.0516703493,5638923.2073822105,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image49.jpg,5,30U
3447.4479160000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image50.jpg,nan,nan
3509.3828110000,704046.0516703493,5638923.2073822105,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image51.jpg,5,30U
3578.9994780000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image52.jpg,nan,nan
3645.1924990000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image53.jpg,nan,nan
3711.3752590000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image54.jpg,nan,nan
3777.4404150000,704046.0633959043,5638923.2078429218,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image55.jpg,5,30U
3845.7030720000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image56.jpg,nan,nan
3907.9750510000,704046.0626678882,5638923.2263716394,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image57.jpg,5,30U
3980.6610920000,704046.0509423333,5638923.2259109281,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image58.jpg,5,30U
4045.5414050000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image59.jpg,nan,nan
4114.0662490000,704046.0626678882,5638923.2263716394,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image60.jpg,5,30U
4181.0966650000,704046.0626678882,5638923.2263716394,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image61.jpg,5,30U
4249.7999990000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image62.jpg,nan,nan
4314.3926550000,704046.0619398722,5638923.2449003570,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image63.jpg,5,30U
4377.8579150000,704046.0619398722,5638923.2449003570,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image64.jpg,5,30U
4448.2788530000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image65.jpg,nan,nan
4515.5401030000,704046.0619398722,5638923.2449003570,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image66.jpg,5,30U
4581.2871340000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image67.jpg,nan,nan
4648.3363010000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image68.jpg,nan,nan
4716.2141130000,704046.0502143174,5638923.2444396457,87000.0000000000,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image69.jpg,5,30U
4779.5044250000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image70.jpg,nan,nan
4847.5329670000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image71.jpg,nan,nan
4918.0367170000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image72.jpg,nan,nan
4976.9402590000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image73.jpg,nan,nan
5057.4563000000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image74.jpg,nan,nan
5124.9136960000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image75.jpg,nan,nan
5193.1273940000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image76.jpg,nan,nan
5257.7744250000,nan,nan,nan,359.8750000000,-7.6250000000,3.3125000000,0.0235294122,35.0000000000,image77.jpg,nan,nan
