gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image0.jpg,2.605259
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image1.jpg,201.64856
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image2.jpg,402.393172
4,50.86341667,-0.093938833,56.6,5.875,-1.9375,359.9375,image3.jpg,602.887364
4,50.86341683,-0.0939385,56.6,5.875,-1.9375,359.9375,image4.jpg,802.862797
4,50.86341683,-0.0939385,56.6,5.875,-1.9375,359.9375,image5.jpg,1002.010808
4,50.86341683,-0.0939385,56.6,5.875,-1.9375,359.9375,image6.jpg,1202.067926
4,50.86341667,-0.093938667,56.6,5.875,-1.9375,359.9375,image7.jpg,1402.413127
4,50.86341667,-0.093938667,56.6,5.875,-1.9375,359.9375,image8.jpg,1603.153519
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image9.jpg,1802.1926
4,50.86341667,-0.093938667,56.6,5.875,-1.9375,359.9375,image10.jpg,2002.255916
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image11.jpg,2202.330433
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image12.jpg,2402.622654
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image13.jpg,2603.753027
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image14.jpg,2803.461161
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image15.jpg,3003.564955
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image16.jpg,3202.673374
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image17.jpg,3402.80108
4,50.86341683,-0.093938667,56.6,5.875,-1.9375,359.9375,image18.jpg,3603.528813
4,50.86341683,-0.093938833,56.6,5.875,-1.9375,359.9375,image19.jpg,3803.870107
4,50.86341683,-0.093938833,56.6,5.875,-1.9375,359.9375,image20.jpg,4003.968691
4,50.86341683,-0.093938833,56.6,5.875,-1.9375,359.9375,image21.jpg,4203.085601
4,50.86341683,-0.093938833,56.6,5.875,-1.9375,359.9375,image22.jpg,4403.141364
4,50.86341683,-0.093938833,56.6,5.875,-1.9375,0.0625,image23.jpg,4603.500474
4,50.86341683,-0.093938833,56.6,5.9375,-1.4375,0.0625,image24.jpg,4804.229197
4,50.86341717,-0.093939167,56.6,6.75,-1,359.6875,image25.jpg,5004.410299
4,50.86341767,-0.0939395,56.6,6.375,-1.9375,359.6875,image26.jpg,5204.455747
4,50.86341833,-0.093940167,56.6,8,-1,359.875,image27.jpg,5403.504726
4,50.863419,-0.093941,56.6,7.6875,-0.75,359.8125,image28.jpg,5603.580544
4,50.86341983,-0.093941833,56.6,8.875,-2.0625,359.0625,image29.jpg,5803.640318
4,50.8634205,-0.0939425,56.6,8.375,-2.0625,359.625,image30.jpg,6003.693475
4,50.86342133,-0.0939435,56.6,7.5625,-2.125,359.4375,image31.jpg,6203.732724
4,50.86342217,-0.093944167,56.6,9.125,-2.25,359.5625,image32.jpg,6403.832246
4,50.863423,-0.093945,56.6,7.0625,-1.3125,359.6875,image33.jpg,6603.911919
4,50.86342367,-0.093945833,56.6,8.625,-1,359.9375,image34.jpg,6804.247431
4,50.8634245,-0.093946333,56.6,8.875,0.125,0.25,image35.jpg,7003.939311
4,50.86342517,-0.093947333,56.6,6.25,-0.3125,359.8125,image36.jpg,7204.103847
4,50.86342617,-0.093948,56.6,7.5625,-1.5,359,image37.jpg,7404.173571
4,50.863427,-0.093948833,56.6,9.125,-1.1875,358.75,image38.jpg,7604.245066
4,50.8634275,-0.093949833,56.6,8.875,-1.5625,358.5,image39.jpg,7804.799844
4,50.8634285,-0.0939505,56.6,8.9375,-0.875,358.6875,image40.jpg,8005.328105
4,50.86342917,-0.093951333,56.6,9.4375,-2.3125,359.4375,image41.jpg,8205.423303
4,50.86343,-0.093952333,56.7,9.4375,-1.75,359.875,image42.jpg,8405.376543
4,50.863431,-0.093953167,56.7,9.6875,-1.625,0.25,image43.jpg,8604.668387
4,50.86343167,-0.093953833,56.7,10.3125,-1.875,0.8125,image44.jpg,8804.633817
4,50.8634325,-0.0939545,56.7,9.5625,-1.8125,1.25,image45.jpg,9005.724545
4,50.86343333,-0.093955333,56.7,9.75,-2.1875,2,image46.jpg,9205.741184
4,50.86343417,-0.093956,56.7,9.625,-1.375,2.375,image47.jpg,9405.755323
4,50.863435,-0.093956833,56.7,9.1875,-1.5625,2.875,image48.jpg,9604.922817
