gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
4,50.86341717,-0.093937667,56.6,7.625,-1.1875,0.125,image0.jpg,2.413907
4,50.86341733,-0.093937667,56.6,7.6875,-1.25,0.125,image1.jpg,202.201511
4,50.86341733,-0.093937667,56.6,9.0625,0,0.75,image2.jpg,402.614532
4,50.863418,-0.093938833,56.7,8.6875,-1.3125,1.3125,image3.jpg,602.925521
4,50.8634195,-0.093940333,56.7,8,-1.6875,2.0625,image4.jpg,803.066042
4,50.86342033,-0.093941167,56.7,7.125,-2.0625,2.4375,image5.jpg,1003.049011
4,50.863421,-0.093941833,56.7,9.25,-1.25,2.625,image6.jpg,1203.218385
4,50.8634215,-0.093942667,56.7,8.125,-3,1.375,image7.jpg,1403.179948
4,50.863422,-0.093943167,56.7,7.25,-2.4375,359.875,image8.jpg,1602.330885
4,50.86342267,-0.093944,56.7,7.1875,-2.1875,359.125,image9.jpg,1802.364166
4,50.8634235,-0.093944833,56.7,7.9375,-1.9375,359.75,image10.jpg,2002.433177
4,50.86342417,-0.093945667,56.7,8.5625,-1.125,359.875,image11.jpg,2202.588333
4,50.86342467,-0.093946333,56.7,7.875,-1.0625,359.4375,image12.jpg,2403.06875
4,50.86342533,-0.093947333,56.7,6.4375,-1.125,359.125,image13.jpg,2603.682604
4,50.86342633,-0.093948,56.7,6.625,-2,359.4375,image14.jpg,2803.745781
4,50.86342683,-0.093949,56.7,8.1875,-1.875,359.25,image15.jpg,3003.599426
4,50.8634275,-0.09395,56.7,9.125,-2.25,359.3125,image16.jpg,3203.761978
4,50.8634285,-0.093950667,56.7,6.875,-1.1875,358.9375,image17.jpg,3403.826145
4,50.863429,-0.093951833,56.7,8.125,-2,358.5625,image18.jpg,3603.039791
4,50.86342983,-0.093952833,56.7,7.5625,-2.3125,358.6875,image19.jpg,3802.945572
4,50.86343067,-0.093953833,56.7,9.125,-2,358.3125,image20.jpg,4003.015936
4,50.86343133,-0.0939545,56.7,8.75,-3.0625,358.9375,image21.jpg,4203.343905
4,50.863432,-0.0939555,56.7,7.75,-2.875,359,image22.jpg,4403.751822
4,50.86343283,-0.0939565,56.7,10,-3.1875,359.75,image23.jpg,4604.19453
4,50.86343367,-0.093957333,56.7,9.4375,-2.25,1.9375,image24.jpg,4804.347759
4,50.8634345,-0.093958167,56.7,9.9375,-1.1875,4.5625,image25.jpg,5004.369946
4,50.8634355,-0.093958833,56.7,8.75,-2.0625,6.8125,image26.jpg,5204.427551
4,50.86343633,-0.093959833,56.7,10.375,-2.5625,7.5625,image27.jpg,5404.519946
4,50.86343717,-0.0939605,56.7,9.9375,-3.1875,7.75,image28.jpg,5603.551405
4,50.86343817,-0.093961167,56.7,9.3125,-2.3125,8.625,image29.jpg,5803.661873
