Frame,Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality,UTM zone,fitted x deg 1,Y fitted [mm],Z fitted [mm],GPS fitted heading [degrees],corrected IMU heading [degrees]
341,23200.488689,704046179.425963,5638923811.228099,87121.45352617496,359.375,-8.5,4.4375,0.4235294163,0.0,5.0,30U,704046.1794259629,5638923.811228098,87121.45352617496,-68.93835823473819,-65.72879664911329
342,23268.450095,704046205.5143585,5638923743.483439,87123.1148617315,359.25,-8.875,5.25,0.5333333611,0.0,,,704046.2055143584,5638923.743483439,87123.1148617315,-70.712841537163,-65.60379664911329
343,23330.458637,704046229.7094947,5638923674.343303,87126.6718271848,358.6875,-9.25,5.4375,0.5490196347,1.0,5.0,30U,704046.2297094945,5638923.674343303,87126.6718271848,-70.33625984792798,-65.04129664911329
344,23400.254523,704046257.1032765,5638923597.682604,87129.94548963085,358.5625,-9.9375,5.75,0.5568627715,0.0,5.0,30U,704046.2571032761,5638923.597682605,87129.94548963085,-70.60218171253734,-64.91629664911329
345,23464.85921,704046281.8667598,5638923527.354334,87132.55176193676,358.3125,-9.125,5.75,0.5647059083,1.0,,,704046.2818667595,5638923.527354335,87132.55176193676,-70.95069976014634,-64.66629664911329
346,23529.898064,704046307.0955516,5638923454.288896,87136.03384873019,358.1875,-8.1875,6.125,0.6039215922,1.0,5.0,30U,704046.3070955515,5638923.454288896,87136.03384873019,-71.04324890949727,-64.54129664911329
347,23604.341606,704046336.1732408,5638923369.633626,87140.05205063988,358.0625,-7.5625,7.0,0.6274510026,10.0,2.0,30U,704046.3361732404,5638923.369633625,87140.05205063989,-70.96415828137026,-64.41629664911329
348,23666.544106,704046360.402902,5638923299.408319,87143.05043234832,357.9375,-6.125,8.5,0.611764729,21.0,,,704046.3604029019,5638923.299408318,87143.05043234833,-71.12799743294534,-64.29129664911329
349,23733.832283,704046386.789138,5638923222.217366,87146.90916992344,357.75,-5.5625,8.75,0.6901960969,24.0,2.0,30U,704046.3867891377,5638923.222217367,87146.90916992344,-71.50388209104148,-64.10379664911329
350,23801.513272,704046413.0185276,5638923143.80833,87151.16763432861,359.125,-4.8125,9.8125,0.7372549176,27.0,2.0,30U,704046.4130185274,5638923.1438083295,87151.16763432862,-71.84283287342942,-65.47879664911329
