speed,steering angle,gps quality,lat,lon,altitude,roll,pitch,yaw,image name,timestamp
0.0313725509,0.0000000000,5,50.8680633333,-0.0981913333,69.2000000000,4.3750000000,-7.1250000000,359.9375000000,image0.jpg,104.4045310000
0.0156862754,0.0000000000,nan,nan,nan,nan,4.3750000000,-7.1250000000,359.9375000000,image1.jpg,171.6766150000
0.0470588244,0.0000000000,5,50.8680638333,-0.0981910000,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image2.jpg,236.8611460000
0.0313725509,0.0000000000,5,50.8680640000,-0.0981910000,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image3.jpg,369.1220310000
0.0313725509,1.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image4.jpg,436.7426560000
0.0313725509,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image5.jpg,568.8964580000
0.0313725509,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image6.jpg,636.6863540000
0.0156862754,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image7.jpg,769.1064580000
0.0470588244,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image8.jpg,837.1709370000
0.0313725509,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image9.jpg,972.4324480000
0.0392156877,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image10.jpg,1035.7088540000
0.0392156877,2.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image11.jpg,1168.5386980000
0.0156862754,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image12.jpg,1236.7230720000
0.0627451017,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,359.9375000000,image13.jpg,1367.5011450000
0.0784313753,0.0000000000,5,50.8680641667,-0.0981906667,69.3000000000,4.3750000000,-7.1875000000,0.0000000000,image14.jpg,1435.8535930000
0.1568627506,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1875000000,0.0000000000,image15.jpg,1568.0383330000
0.2274509817,2.0000000000,5,50.8680640000,-0.0981906667,69.3000000000,4.3750000000,-7.1250000000,0.0000000000,image16.jpg,1636.4611450000
0.2117647082,0.0000000000,5,50.8680640000,-0.0981906667,69.3000000000,4.3750000000,-7.1250000000,0.0000000000,image17.jpg,1767.9047390000
0.2117647082,0.0000000000,5,50.8680640000,-0.0981908333,69.3000000000,4.3750000000,-7.1250000000,0.0000000000,image18.jpg,1837.5372910000
0.1490196139,0.0000000000,5,50.8680640000,-0.0981906667,69.3000000000,4.3750000000,-7.1250000000,0.0000000000,image19.jpg,1972.6983850000
0.3294117749,0.0000000000,5,50.8680640000,-0.0981906667,69.3000000000,4.3750000000,-7.1250000000,0.0000000000,image20.jpg,2036.6881240000
0.4156862795,0.0000000000,5,50.8680640000,-0.0981906667,69.3000000000,4.8125000000,-6.8125000000,0.0625000000,image21.jpg,2171.7285410000
0.4392156899,-1.0000000000,5,50.8680640000,-0.0981906667,69.3000000000,5.3750000000,-6.3750000000,0.0625000000,image22.jpg,2235.8343740000
0.4392156899,1.0000000000,5,50.8680638333,-0.0981906667,69.3000000000,7.3125000000,-5.9375000000,0.0000000000,image23.jpg,2371.6289050000
0.3843137324,0.0000000000,5,50.8680636667,-0.0981908333,69.3000000000,7.9375000000,-5.6250000000,359.8750000000,image24.jpg,2435.3338010000
0.4470588267,0.0000000000,5,50.8680635000,-0.0981910000,69.3000000000,8.6250000000,-5.0000000000,359.3750000000,image25.jpg,2572.5095820000
0.4392156899,0.0000000000,5,50.8680636667,-0.0981911667,69.3000000000,8.6250000000,-4.8125000000,359.4375000000,image26.jpg,2635.6457800000
0.4392156899,0.0000000000,5,50.8680633333,-0.0981915000,69.3000000000,7.3750000000,-5.3750000000,359.3750000000,image27.jpg,2773.0159360000
0.4392156899,1.0000000000,5,50.8680631667,-0.0981920000,69.3000000000,6.9375000000,-6.3750000000,358.8750000000,image28.jpg,2836.5818740000
0.4156862795,0.0000000000,5,50.8680628333,-0.0981923333,69.3000000000,2.5625000000,-5.6875000000,359.7500000000,image29.jpg,2972.9340090000
0.4156862795,0.0000000000,5,50.8680626667,-0.0981928333,69.2000000000,2.3125000000,-4.0625000000,359.8750000000,image30.jpg,3037.1378630000
0.3764705956,1.0000000000,5,50.8680626667,-0.0981931667,69.2000000000,4.0000000000,-2.8125000000,358.7500000000,image31.jpg,3173.3333840000
0.4156862795,0.0000000000,5,50.8680623333,-0.0981931667,69.2000000000,3.2500000000,-4.1250000000,358.9375000000,image32.jpg,3239.6093740000
0.4156862795,0.0000000000,5,50.8680620000,-0.0981936667,69.2000000000,6.8750000000,-7.2500000000,0.5000000000,image33.jpg,3372.7328110000
0.4156862795,2.0000000000,5,50.8680618333,-0.0981941667,69.2000000000,10.2500000000,-8.5000000000,359.8750000000,image34.jpg,3439.6994780000
0.4156862795,2.0000000000,5,50.8680613333,-0.0981941667,69.3000000000,11.0625000000,-7.2500000000,359.5000000000,image35.jpg,3571.4255200000
0.3450980484,2.0000000000,5,50.8680610000,-0.0981943333,69.3000000000,10.5625000000,-6.6250000000,359.9375000000,image36.jpg,3640.1693220000
0.4078431427,0.0000000000,5,50.8680610000,-0.0981945000,69.3000000000,8.0000000000,-5.6250000000,358.8125000000,image37.jpg,3772.2638010000
