Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
11913.96213,704052148881.9402,5638923150035.508,87600000.0,11.8125,-2.0625,11.375,1.003921628,2.0,image175.jpg,2.0,30U,704052.06241325,5638923.124256177,87608.99294415326,-73.17566813742974,-83.29371034805558
11987.879682,704052162791.6086,5638923094910.081,87600000.0,12.0,-2.5,11.4375,1.003921628,0.0,image176.jpg,2.0,30U,704052.0805073355,5638923.064417526,87610.77389906358,-72.33111663663107,-83.48121034805558
12054.260464,,,,11.0,-2.3125,10.625,1.003921628,0.0,image177.jpg,,,704052.0978928473,5638923.0098392,87614.35633342246,-70.9218795164984,-82.48121034805558
12118.614839,704052214062.0583,5638922985580.675,87600000.0,11.0,-2.125,11.0625,1.003921628,0.0,image178.jpg,2.0,30U,704052.1159971037,5638922.957492586,87616.8023196412,-72.02997802482207,-82.48121034805558
12182.499839,704052181069.5042,5638922928612.348,87600000.0,10.25,-2.5,10.75,1.003921628,0.0,image179.jpg,2.0,30U,704052.1327115509,5638922.905959078,87619.20408893433,-70.79747442850896,-81.73121034805558
12258.725047,,,,9.6875,-2.3125,11.4375,1.003921628,0.0,image180.jpg,,,704052.1542781083,5638922.84403715,87623.34713122719,-71.02619769229568,-81.16871034805558
12313.872755,704052219886.3612,5638922837350.937,87700000.0,9.3125,-2.5625,10.875,1.003921628,0.0,image181.jpg,2.0,30U,704052.1695331453,5638922.799667412,87625.80805201958,-70.63033098544395,-80.79371034805558
12382.332078,704052233796.0311,5638922782225.509,87600000.0,8.6875,-2.9375,11.1875,1.003921628,0.0,image182.jpg,2.0,30U,704052.1888210797,5638922.744803669,87628.32986228383,-70.65480356698276,-80.16871034805558
12446.825672,,,,8.0,-3.1875,11.125,1.003921628,0.0,image183.jpg,,,704052.207133299,5638922.692644116,87631.32604182191,-69.99996799699954,-79.48121034805558
12516.018901,704052272612.8901,5638922690964.096,87600000.0,7.5,-2.875,11.25,1.003921628,0.0,image184.jpg,2.0,30U,704052.2272951447,5638922.637249996,87635.13931675954,-70.22987243372421,-78.98121034805558
12584.888641,704052296792.041,5638922673356.831,87600000.0,7.125,-3.5625,10.6875,1.003921628,0.0,image185.jpg,2.0,30U,704052.2471797358,5638922.5819279365,87639.13469725923,-70.3658103565491,-78.60621034805558
12652.103745,,,,6.8125,-3.3125,10.9375,1.003921628,0.0,image186.jpg,,,704052.2667116245,5638922.527179423,87643.45511240729,-69.9663944688719,-78.29371034805558
12717.586453,704052288706.6748,5638922580252.517,87700000.0,6.4375,-3.75,11.8125,1.003921628,3.0,image187.jpg,2.0,30U,704052.2860844469,5638922.47405001,87647.32958483402,-69.96898020503386,-77.91871034805558
12783.548432,704052303344.3839,5638922506598.373,87700000.0,5.8125,-4.1875,11.75,1.003921628,2.0,image188.jpg,2.0,30U,704052.305671463,5638922.420325643,87650.71407251968,-69.89618149981726,-77.29371034805558
12846.966505,,,,5.5625,-4.0,11.1875,1.003921628,4.0,image189.jpg,,,704052.3247727747,5638922.368139633,87653.84702020667,-69.43150421125893,-77.04371034805558
12913.419474,704052330435.6885,5638922414876.238,87700000.0,5.5,-4.5625,11.0625,1.003921628,5.0,image190.jpg,2.0,30U,704052.3451634641,5638922.313800381,87657.25272384481,-69.10332128555319,-76.98121034805558
12988.179786,704052344345.3601,5638922359750.809,87700000.0,5.875,-4.625,11.625,1.003921628,5.0,image191.jpg,2.0,30U,704052.3686063972,5638922.252398727,87661.0899788035,-69.44023100021872,-77.35621034805558
13052.227599,,,,5.5625,-4.3125,11.875,1.003921628,4.0,image192.jpg,,,704052.3884278812,5638922.199551884,87663.97076794681,-69.28815743399662,-77.04371034805558
13113.085047,704052358255.0321,5638922304625.384,87700000.0,5.6875,-4.125,11.375,1.003921628,4.0,image193.jpg,2.0,30U,704052.407277822,5638922.149698129,87666.83727997234,-68.71186521122422,-77.16871034805558
13185.343015,704052447614.3187,5638922122563.288,87700000.0,6.0,-4.25,11.5625,1.003921628,6.0,image194.jpg,2.0,30U,704052.4305926448,5638922.089862091,87670.68295848623,-69.06107232912916,-77.48121034805558
13249.616922,,,,6.0625,-3.875,10.9375,1.003921628,4.0,image195.jpg,,,704052.4509572698,5638922.036640937,87673.6921460301,-68.80325388031241,-77.54371034805558
13315.337651,704052511338.3787,5638921995165.894,87700000.0,6.25,-4.0,11.1875,1.003921628,5.0,image196.jpg,2.0,30U,704052.4719588661,5638921.982486468,87676.9717634876,-68.49598257141156,-77.73121034805558
13389.25739,704052596329.441,5638921924276.104,87800000.0,6.5625,-3.875,11.6875,1.003921628,4.0,image197.jpg,2.0,30U,704052.4959769564,5638921.921525529,87681.05292346484,-69.11449689539728,-78.04371034805558
13453.246088,,,,6.5625,-4.0625,11.0625,1.003921628,6.0,image198.jpg,,,704052.516081661,5638921.868836514,87683.92067845391,-68.84141180167552,-78.04371034805558
13517.846192,704052600697.675,5638921813103.801,87800000.0,6.75,-4.375,10.5,1.003921628,4.0,image199.jpg,2.0,30U,704052.5366063464,5638921.815807065,87687.10418153566,-68.84866423930896,-78.23121034805558
13582.474942,704052628517.0262,5638921702852.946,87700000.0,7.0,-3.375,10.375,1.003921628,4.0,image200.jpg,2.0,30U,704052.5571571712,5638921.762690107,87690.12063022902,-68.78782800233961,-78.48121034805558
13650.809682,,,,7.375,-2.9375,10.75,1.003921628,4.0,image201.jpg,,,704052.5788502344,5638921.706797273,87693.40014336004,-68.64056493092528,-78.85621034805558
13715.088432,704052667333.8984,5638921611591.537,87800000.0,7.3125,-2.4375,11.125,1.003921628,4.0,image202.jpg,2.0,30U,704052.5993679778,5638921.654332855,87696.66694480104,-68.43200495990254,-78.79371034805558
13784.03489,704052707606.8501,5638921483272.692,87700000.0,6.9375,-2.5625,10.6875,1.003921628,3.0,image203.jpg,2.0,30U,704052.62161086,5638921.598061933,87700.24372449164,-68.23671325736115,-78.41871034805558
13858.194473,,,,7.375,-3.0,10.875,1.003921628,2.0,image204.jpg,,,704052.6456315167,5638921.537894225,87704.4793129695,-68.4317965244756,-78.85621034805558
13919.166453,704052733970.1261,5638921410079.277,87800000.0,6.75,-3.5,10.4375,1.003921628,3.0,image205.jpg,2.0,30U,704052.6651189262,5638921.488594731,87707.72301019252,-68.17245843472904,-78.23121034805558
13985.361661,704052752248.0402,5638921243781.546,87800000.0,7.0,-3.75,10.1875,1.003921628,2.0,image206.jpg,2.0,30U,704052.6865515322,5638921.435084006,87711.37584319235,-68.04980087920842,-78.48121034805558
14049.760671,,,,7.1875,-3.25,10.6875,1.003921628,2.0,image207.jpg,,,704052.7072838914,5638921.383640925,87714.82677660735,-67.6092501515165,-78.66871034805558
14116.655984,704052756616.2765,5638921132609.241,87700000.0,6.5625,-3.3125,10.875,1.003921628,1.0,image208.jpg,2.0,30U,704052.7293378906,5638921.330109384,87718.92351938337,-67.14573310484445,-78.04371034805558
14192.994317,704052783707.5957,5638921040887.107,87700000.0,6.375,-3.25,10.75,1.003921628,1.0,image209.jpg,2.0,30U,704052.7550642074,5638921.26907079,87724.13703488803,-67.33869368547732,-77.85621034805558
14252.30713,,,,6.125,-3.3125,10.75,1.003921628,1.0,image210.jpg,,,704052.7744131819,5638921.222727693,87727.77665527597,-66.90791511208676,-77.60621034805558
14316.461192,704052834978.0745,5638920931557.709,87700000.0,5.625,-3.625,10.5,1.003921628,1.0,image211.jpg,2.0,30U,704052.7959293561,5638921.172264412,87732.27009157462,-66.6340699314473,-77.10621034805558
14383.902338,704052873066.9147,5638920858825.017,87700000.0,5.375,-3.0,11.125,1.003921628,2.0,image212.jpg,2.0,30U,704052.8187609472,5638921.119417524,87737.26533901214,-66.31361412668792,-76.85621034805558
14454.936088,,,,4.3125,-3.8125,11.0625,1.003921628,1.0,image213.jpg,,,704052.8430023625,5638921.064158367,87742.90962214937,-66.18226369512843,-75.79371034805558
14521.159577,704052886248.555,5638920822228.309,87700000.0,4.3125,-4.25,11.0,1.003921628,1.0,image214.jpg,2.0,30U,704052.865747454,5638921.012631547,87748.36151224992,-66.04631853489207,-75.79371034805558
14585.10239,704052858429.1954,5638920932479.162,87800000.0,4.1875,-4.1875,11.125,1.003921628,0.0,image215.jpg,5.0,30U,704052.8876994958,5638920.963218988,87753.7351673076,-65.8751946644361,-75.66871034805558
14650.873379,,,,3.75,-4.125,11.5625,1.003921628,3.0,image216.jpg,,,704052.9104907457,5638920.912327632,87759.29697854041,-65.80451179909795,-75.23121034805558
