Frame,Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality,UTM zone,fitted x deg 1,Y fitted [mm],Z fitted [mm],GPS fitted heading [degrees],corrected IMU heading [degrees]
209,14192.994317,704052755.0642076,5638921269.07079,87724.13703488803,6.375,-3.25,10.75,1.003921628,1.0,2.0,30U,704052.7550642074,5638921.26907079,87724.13703488803,-67.33869368547732,-77.85621034805558
210,14252.30713,704052774.4131818,5638921222.727695,87727.77665527597,6.125,-3.3125,10.75,1.003921628,1.0,,,704052.7744131819,5638921.222727693,87727.77665527597,-66.90791511208676,-77.60621034805558
211,14316.461192,704052795.9293559,5638921172.264412,87732.27009157462,5.625,-3.625,10.5,1.003921628,1.0,2.0,30U,704052.7959293561,5638921.172264412,87732.27009157462,-66.6340699314473,-77.10621034805558
212,14383.902338,704052818.7609473,5638921119.417522,87737.26533901214,5.375,-3.0,11.125,1.003921628,2.0,2.0,30U,704052.8187609472,5638921.119417524,87737.26533901214,-66.31361412668792,-76.85621034805558
213,14454.936088,704052843.0023626,5638921064.158366,87742.90962214937,4.3125,-3.8125,11.0625,1.003921628,1.0,,,704052.8430023625,5638921.064158367,87742.90962214937,-66.18226369512843,-75.79371034805558
214,14521.159577,704052865.747454,5638921012.631547,87748.3615122499,4.3125,-4.25,11.0,1.003921628,1.0,2.0,30U,704052.865747454,5638921.012631547,87748.36151224992,-66.04631853489207,-75.79371034805558
215,14585.10239,704052887.6994959,5638920963.218987,87753.7351673076,4.1875,-4.1875,11.125,1.003921628,0.0,5.0,30U,704052.8876994958,5638920.963218988,87753.7351673076,-65.8751946644361,-75.66871034805558
216,14650.873379,704052910.4907454,5638920912.327636,87759.29697854041,3.75,-4.125,11.5625,1.003921628,3.0,,,704052.9104907457,5638920.912327632,87759.29697854041,-65.80451179909795,-75.23121034805558
217,14713.512702,704052932.31127,5638920863.764539,87764.8032912199,3.6875,-3.875,11.9375,1.003921628,0.0,2.0,30U,704052.9323112699,5638920.863764537,87764.8032912199,-65.63285650256427,-75.16871034805558
218,14791.539525,704052960.2974904,5638920801.975094,87771.9798347785,2.75,-4.0,12.0625,1.003921628,1.0,2.0,30U,704052.9602974904,5638920.801975095,87771.9798347785,-65.6718091307489,-74.23121034805558
219,14855.081817,704052982.7243011,5638920752.370301,87777.70915011327,2.3125,-4.0625,11.375,1.003921628,3.0,,,704052.9827243014,5638920.752370304,87777.70915011327,-65.62844672179426,-73.79371034805558
220,14911.8489,704053002.7265128,5638920708.217418,87782.94047469717,2.0625,-4.875,11.8125,1.003921628,4.0,2.0,30U,704053.0027265132,5638920.708217416,87782.94047469717,-65.43566960338376,-73.54371034805558
221,14985.089213,704053029.4155576,5638920649.827475,87790.00497250789,1.9375,-4.5,12.0625,1.003921628,3.0,2.0,30U,704053.0294155576,5638920.649827475,87790.00497250789,-65.36624395077195,-73.41871034805558
222,15057.779473,704053056.0381603,5638920591.769065,87797.16601576877,1.9375,-4.125,11.9375,1.003921628,0.0,,,704053.0560381603,5638920.591769063,87797.16601576877,-65.25053061433988,-73.41871034805558
223,15148.263327,704053090.0018492,5638920518.094333,87806.47283958278,1.5625,-4.6875,11.875,1.003921628,0.0,2.0,30U,704053.0900018492,5638920.518094332,87806.47283958278,-65.17328791756648,-73.04371034805558
224,15254.719629,704053130.6270229,5638920430.280942,87817.64615626288,1.4375,-3.9375,12.875,1.003921628,0.0,2.0,30U,704053.1306270229,5638920.430280943,87817.64615626288,-65.20917334008453,-72.91871034805558
225,15320.470931,704053155.1458881,5638920377.194939,87824.36793329411,0.75,-3.875,12.125,1.003921628,0.0,2.0,30U,704053.1551458882,5638920.377194936,87824.36793329411,-65.19523838480501,-72.23121034805558
226,15382.218223,704053178.1355705,5638920327.451562,87830.75583446481,0.5,-4.1875,12.125,1.003921628,1.0,2.0,30U,704053.1781355701,5638920.327451563,87830.75583446478,-65.11561152988065,-71.98121034805558
227,15454.446504,704053205.4982526,5638920268.461627,87838.40689196435,359.875,-4.125,12.625,1.003921628,3.0,,,704053.2054982526,5638920.268461628,87838.40689196435,-65.10292573962704,-71.35621034805558
228,15518.043692,704053229.574356,5638920216.587167,87845.20530216141,359.5,-4.1875,13.0,1.003921628,6.0,2.0,30U,704053.229574356,5638920.216587167,87845.20530216141,-65.0454828922272,-70.98121034805558
229,15586.097337,704053255.5810337,5638920160.699879,87852.5939285902,359.1875,-4.75,12.3125,1.003921628,9.0,2.0,30U,704053.2555810336,5638920.160699882,87852.5939285902,-65.00072584960333,-70.66871034805558
230,15657.323848,704053282.974872,5638920101.951663,87860.44830852619,359.25,-4.5,12.5625,1.003921628,7.0,,,704053.2829748725,5638920.1019516615,87860.44830852619,-64.96651583093637,-70.73121034805558
231,15722.519577,704053308.1193508,5638920048.111324,87867.72654904262,0.375,-3.625,13.0,1.003921628,7.0,2.0,30U,704053.3081193507,5638920.048111325,87867.72654904262,-64.9723441919981,-71.85621034805558
232,15789.407337,704053333.9780352,5638919992.727003,87875.31617776386,0.875,-3.625,13.0625,1.003921628,7.0,2.0,30U,704053.3339780355,5638919.992727008,87875.31617776386,-64.93446244940884,-72.35621034805558
233,15850.7514,704053357.6568614,5638919942.098878,87882.39268686964,1.3125,-3.1875,13.0625,1.003921628,7.0,,,704053.3576568615,5638919.942098876,87882.39268686964,-64.93591849936513,-72.79371034805558
234,15921.064056,704053385.1965573,5638919883.21185,87890.53414152023,1.6875,-2.9375,12.4375,1.003921628,7.0,2.0,30U,704053.3851965579,5638919.883211848,87890.53414152023,-64.93745384921289,-73.16871034805558
235,15990.10791,704053412.2913728,5638919825.272046,87898.68207863666,2.125,-2.625,12.4375,1.003921628,6.0,2.0,30U,704053.4122913729,5638919.825272046,87898.68207863666,-64.91028261077878,-73.60621034805558
236,16052.778483,704053436.8833299,5638919772.749304,87906.24524262533,2.1875,-2.4375,12.75,1.003921628,6.0,,,704053.4368833298,5638919.772749304,87906.24524262533,-64.90587442954597,-73.66871034805558
237,16120.151712,704053463.5985352,5638919715.703219,87914.36622794624,2.4375,-2.75,12.6875,1.003921628,5.0,2.0,30U,704053.4635985353,5638919.715703222,87914.36622794624,-64.89606374530763,-73.91871034805558
238,16187.884577,704053490.5697548,5638919658.136128,87922.7101337335,3.0,-2.8125,12.625,1.003921628,6.0,2.0,30U,704053.4905697544,5638919.65813613,87922.7101337335,-64.8140073985486,-74.48121034805558
239,16260.205983,704053519.6630263,5638919596.270525,87931.76062655443,3.0,-2.5,12.375,1.003921628,2.0,,,704053.5196630266,5638919.596270526,87931.76062655443,-64.84218905714783,-74.48121034805558
240,16318.346295,704053542.9405768,5638919546.708521,87939.16157244699,3.4375,-2.875,12.375,1.003921628,3.0,2.0,30U,704053.5429405769,5638919.546708519,87939.161572447,-64.83001377976808,-74.91871034805558
241,16385.118379,704053569.9821268,5638919489.164075,87947.765897941,3.125,-2.0625,12.0625,1.003921628,1.0,2.0,30U,704053.5699821269,5638919.489164075,87947.765897941,-64.79212394106304,-74.60621034805558
242,16452.246347,704053597.3273884,5638919431.073163,87956.49214738891,3.0625,-2.125,12.0625,1.003921628,1.0,,,704053.5973273886,5638919.431073165,87956.49214738891,-64.80837700708332,-74.54371034805558
243,16517.22442,704053623.8953767,5638919374.591885,87964.93783269149,2.625,-2.1875,11.6875,1.003921628,1.0,2.0,30U,704053.6238953763,5638919.374591883,87964.93783269149,-64.78247929533711,-74.10621034805558
244,16586.570774,704053652.4316839,5638919313.997245,87974.00075908047,2.1875,-2.0,11.5,1.003921628,1.0,5.0,30U,704053.6524316838,5638919.313997246,87974.00075908047,-64.77378199399385,-73.66871034805558
245,16659.720827,704053682.7081947,5638919249.732731,87983.49004370862,1.9375,-1.625,11.8125,1.003921628,3.0,,,704053.6827081951,5638919.249732732,87983.49004370862,-64.78395466959967,-73.41871034805558
246,16717.518483,704053706.5578576,5638919199.086439,87991.18181778137,1.125,-2.3125,11.4375,1.003921628,3.0,5.0,30U,704053.7065578576,5638919.199086439,87991.18181778137,-64.78749525590916,-72.60621034805558
247,16788.831608,704053736.2743536,5638919135.971426,88000.34171936045,1.0625,-2.5,10.6875,1.003921628,4.0,5.0,30U,704053.7362743536,5638919.135971429,88000.34171936045,-64.77366570813103,-72.54371034805558
248,16855.523379,704053764.1663628,5638919076.768539,88008.99292343475,0.6875,-2.5,10.9375,1.003921628,4.0,,,704053.7641663627,5638919.076768538,88008.99292343475,-64.79025246190173,-72.16871034805558
249,16918.858118,704053790.7143472,5638919020.376102,88017.22528901762,0.75,-2.375,10.5625,1.003921628,5.0,2.0,30U,704053.7907143475,5638919.020376103,88017.22528901762,-63.93986009419007,-72.23121034805558
250,16985.408066,704053820.17498,5638918960.133425,88027.16248250555,0.8125,-2.375,10.6875,1.003921628,3.0,2.0,30U,704053.8201749801,5638918.960133425,88027.16248250555,-64.01470990947189,-72.29371034805558
251,17057.195722,704053852.0204257,5638918894.798016,88037.57897246769,0.6875,-2.8125,9.9375,1.003921628,3.0,,,704053.8520204261,5638918.894798017,88037.57897246769,-63.91440872587049,-72.16871034805558
252,17119.09041,704053879.7690682,5638918838.11992,88046.9492489902,1.25,-2.8125,9.9375,1.003921628,4.0,2.0,30U,704053.8797690681,5638918.838119919,88046.9492489902,-63.99762811553808,-72.73121034805558
253,17188.113795,704053910.7824343,5638918774.539773,88057.06996345587,1.1875,-3.1875,9.8125,1.003921628,3.0,2.0,30U,704053.9107824346,5638918.774539774,88057.06996345587,-64.0060878403554,-72.66871034805558
254,17258.997337,704053942.7399185,5638918708.999547,88067.33593748441,0.9375,-3.25,8.9375,1.003921628,3.0,,,704053.9427399188,5638918.708999548,88067.3359374844,-63.92520722364583,-72.41871034805558
255,17320.99093,704053970.9766055,5638918651.297062,88076.64951280602,1.4375,-3.0,9.1875,1.003921628,3.0,2.0,30U,704053.9709766051,5638918.651297058,88076.649512806,-63.96825374987168,-72.91871034805558
256,17393.894941,704054004.224211,5638918583.225117,88087.15157298851,1.125,-3.1875,8.6875,1.003921628,4.0,2.0,30U,704054.004224211,5638918.583225117,88087.15157298851,-63.913521511951785,-72.60621034805558
257,17454.029472,704054031.7739512,5638918526.955493,88096.11501577022,1.25,-3.4375,8.8125,1.003921628,3.0,,,704054.031773951,5638918.526955493,88096.11501577022,-63.911799938233344,-72.73121034805558
258,17521.308847,704054062.7972609,5638918463.596011,88105.90344181388,1.125,-3.5625,9.0,1.003921628,3.0,2.0,30U,704054.0627972609,5638918.463596013,88105.90344181388,-63.9066963866037,-72.60621034805558
259,17585.718847,704054092.5223461,5638918402.901616,88115.56180961696,1.25,-3.25,9.1875,1.003921628,4.0,5.0,30U,704054.0925223457,5638918.402901612,88115.56180961696,-63.93206435047426,-72.73121034805558
260,17655.631816,704054124.8794155,5638918336.758947,88125.88512470265,1.375,-2.8125,9.0,1.003921628,2.0,,,704054.1248794154,5638918.33675895,88125.88512470265,-63.90975673373032,-72.85621034805558
261,17724.110409,704054156.8383114,5638918271.494601,88136.04995214364,1.4375,-3.4375,8.9375,1.003921628,2.0,2.0,30U,704054.1568383111,5638918.271494599,88136.04995214364,-63.91814799296708,-72.91871034805558
262,17784.903066,704054185.3254149,5638918213.298535,88145.16281842532,1.1875,-3.5625,9.3125,1.003921628,1.0,2.0,30U,704054.1853254152,5638918.213298535,88145.16281842535,-63.92370803213191,-72.66871034805558
263,17845.883118,704054213.9604559,5638918154.785875,88154.11868263975,1.0625,-3.125,9.4375,1.003921628,2.0,,,704054.2139604557,5638918.154785874,88154.11868263975,-63.81660435376512,-72.54371034805558
264,17951.973118,704054264.279363,5638918052.449497,88168.18612425718,359.9375,-3.75,9.25,1.003921628,2.0,2.0,30U,704054.2642793633,5638918.052449497,88168.18612425719,-63.783096392278935,-71.41871034805558
265,18057.296139,704054314.5489435,5638917950.364257,88182.03799882383,0.0625,-2.3125,9.75,1.003921628,3.0,2.0,30U,704054.3145489437,5638917.950364258,88182.03799882383,-63.82317421738196,-71.54371034805558
266,18117.565305,704054343.5992755,5638917891.2658615,88190.60328203966,0.0,-3.0,10.375,1.003921628,3.0,2.0,30U,704054.3435992753,5638917.891265861,88190.60328203966,-63.83075596957457,-71.48121034805558
267,18188.170461,704054377.6785622,5638917821.913654,88200.24510409767,359.0625,-3.4375,10.0625,1.003921628,4.0,2.0,30U,704054.377678562,5638917.821913655,88200.24510409767,-63.82282813214027,-70.54371034805558
268,18259.26067,704054412.0645733,5638917751.96171,88209.89634771568,358.75,-3.1875,9.75,1.003921628,4.0,,,704054.4120645736,5638917.751961711,88209.89634771568,-63.7809874990981,-70.23121034805558
269,18322.106503,704054442.834158,5638917689.482005,88218.52390093199,358.9375,-3.0625,10.125,1.003921628,5.0,2.0,30U,704054.4428341578,5638917.689482003,88218.52390093199,-63.85953309660067,-70.41871034805558
270,18387.393795,704054474.8214903,5638917624.304291,88227.16917035906,359.125,-2.6875,10.1875,1.003921628,7.0,2.0,30U,704054.4748214904,5638917.624304293,88227.16917035906,-63.859643830102186,-70.60621034805558
271,18459.171659,704054510.0804816,5638917552.459863,88236.34302285704,359.5,-2.4375,10.375,1.003921628,7.0,,,704054.5100804818,5638917.552459866,88236.34302285704,-63.8191984219099,-70.98121034805558
272,18522.707388,704054541.6407537,5638917488.266638,88244.50589293156,359.6875,-2.625,10.25,1.003921628,7.0,2.0,30U,704054.5416407542,5638917.488266635,88244.50589293156,-63.89678483655325,-71.16871034805558
273,18590.995982,704054575.5419962,5638917419.075414,88252.9352440342,0.125,-3.1875,9.3125,1.003921628,7.0,5.0,30U,704054.575541996,5638917.419075418,88252.9352440342,-64.01286535574985,-71.60621034805558
274,18655.613742,704054607.6498481,5638917353.207032,88260.78573380788,0.875,-3.375,9.3125,1.003921628,7.0,,,704054.6076498479,5638917.353207032,88260.78573380788,-63.92781532780538,-72.35621034805558
275,18723.335826,704054641.6114857,5638917283.797432,88268.82103225084,1.75,-3.5,9.0625,1.003921628,7.0,5.0,30U,704054.6416114856,5638917.2837974345,88268.82103225084,-64.02860353221541,-73.23121034805558
276,18792.033117,704054676.0604416,5638917213.077022,88276.58675040478,2.0,-3.0625,9.25,1.003921628,5.0,2.0,30U,704054.6760604418,5638917.213077023,88276.58675040478,-64.18711371544703,-73.48121034805558
277,18851.876972,704054706.1117983,5638917150.94847,88283.26441767867,2.0625,-3.3125,8.875,1.003921628,3.0,,,704054.706111798,5638917.15094847,88283.26441767867,-63.9844908306676,-73.54371034805558
278,18922.209419,704054741.8002782,5638917077.826486,88290.9061072125,2.25,-3.375,7.9375,1.003921628,4.0,2.0,30U,704054.741800278,5638917.077826485,88290.9061072125,-64.13743843175541,-73.73121034805558
279,18985.414055,704054773.8614647,5638917011.68913,88297.6188128312,2.1875,-3.625,7.6875,1.003921628,3.0,2.0,30U,704054.7738614646,5638917.011689128,88297.6188128312,-64.00132860850397,-73.66871034805558
280,19059.08369,704054811.4641345,5638916934.587694,88305.14080713988,2.4375,-3.625,8.3125,1.003921628,4.0,,,704054.8114641346,5638916.934587692,88305.14080713988,-64.10188953473943,-73.91871034805558
281,19122.753274,704054844.1345118,5638916867.300057,88311.43657414254,1.8125,-3.3125,8.0,1.003921628,1.0,2.0,30U,704054.844134512,5638916.867300058,88311.43657414254,-64.08833672393445,-73.29371034805558
282,19183.236451,704054875.2721882,5638916803.207754,88317.29060170134,1.6875,-3.125,8.125,1.003921628,0.0,2.0,30U,704054.8752721885,5638916.803207751,88317.29060170134,-63.76869197829484,-73.16871034805558
283,19259.880617,704054915.1220427,5638916722.333741,88324.80084300604,1.75,-2.8125,8.125,1.003921628,0.0,,,704054.9151220423,5638916.72233374,88324.80084300604,-63.89125944779539,-73.23121034805558
284,19320.795461,704054946.9577458,5638916657.37407,88330.56223448229,1.375,-2.9375,8.25,1.003921628,2.0,2.0,30U,704054.9469577458,5638916.657374068,88330.5622344823,-63.63652407262464,-72.85621034805558
285,19393.322544,704054985.1072177,5638916580.399289,88337.24098463687,0.8125,-2.875,8.8125,1.003921628,0.0,2.0,30U,704054.9851072178,5638916.580399288,88337.24098463687,-63.62418500823742,-72.29371034805558
286,19455.023638,704055017.7490399,5638916514.573012,88342.91656498857,0.1875,-3.0,8.75,1.003921628,0.0,,,704055.0177490402,5638916.514573011,88342.91656498857,-63.46404500277731,-71.66871034805558
287,19525.300669,704055055.1647801,5638916439.64643,88349.30825282562,359.8125,-3.5625,8.75,1.003921628,2.0,2.0,30U,704055.0551647805,5638916.43964643,88349.30825282562,-63.31973155495706,-71.29371034805558
288,19591.714836,704055090.7536187,5638916368.825149,88355.31949683977,359.5,-4.0,8.5625,1.003921628,0.0,5.0,30U,704055.0907536187,5638916.3688251525,88355.31949683977,-63.16974404056498,-70.98121034805558
289,19656.805461,704055125.9010782,5638916299.336213,88361.27073232442,359.375,-4.0625,8.5,1.003921628,0.0,,,704055.1259010782,5638916.299336213,88361.27073232442,-63.03803739243728,-70.85621034805558
290,19725.603482,704055163.3072778,5638916225.801768,88367.45013316628,358.75,-4.0,9.25,1.003921628,0.0,2.0,30U,704055.1633072778,5638916.225801769,88367.45013316626,-62.95025749485126,-70.23121034805558
291,19789.581919,704055198.2873449,5638916157.296615,88372.96808387236,358.5625,-4.375,9.1875,1.003921628,2.0,2.0,30U,704055.1982873455,5638916.157296614,88372.96808387234,-62.85428789277779,-70.04371034805558
292,19855.069419,704055234.2257613,5638916087.204743,88378.78639998891,358.0,-4.0625,8.375,1.003921628,0.0,,,704055.2342257615,5638916.087204743,88378.78639998891,-62.75402436911321,-69.48121034805558
293,19923.286398,704055271.9267235,5638916013.991167,88384.6706529892,357.75,-4.9375,8.6875,1.003921628,1.0,2.0,30U,704055.2719267239,5638916.013991169,88384.67065298921,-62.62748419449895,-69.23121034805558
294,19992.677648,704055310.4847693,5638915939.517742,88390.70784394685,357.625,-4.5625,8.875,1.003921628,1.0,2.0,30U,704055.3104847692,5638915.939517744,88390.70784394685,-62.49626059273732,-69.10621034805558
295,20057.366607,704055346.6540531,5638915870.048263,88396.50628922766,357.0,-4.0,8.6875,1.003921628,1.0,,,704055.3466540532,5638915.870048266,88396.50628922766,-62.39695084900404,-68.48121034805558
296,20131.798794,704055388.5346677,5638915789.948419,88403.01265205456,356.6875,-4.375,8.1875,1.003921628,1.0,2.0,30U,704055.3885346678,5638915.7899484215,88403.01265205456,-62.26656935580286,-68.16871034805558
297,20189.58395,704055421.3162239,5638915727.597182,88408.1745433579,356.5,-3.375,9.0,1.003921628,1.0,2.0,30U,704055.4213162239,5638915.72759718,88408.1745433579,-62.162989568175135,-67.98121034805558
298,20253.038481,704055457.4404256,5638915659.18868,88413.83902660612,356.25,-4.0,8.8125,1.003921628,4.0,,,704055.4574404258,5638915.65918868,88413.83902660612,-62.099774165753104,-67.73121034805558
299,20323.231763,704055497.6269357,5638915583.2902975,88419.916296408,356.0625,-4.3125,8.5,1.003921628,0.0,2.0,30U,704055.4976269354,5638915.583290295,88419.916296408,-61.96656186147055,-67.54371034805558
300,20392.10744,704055537.3198149,5638915508.743833,88425.82533491973,356.625,-3.8125,8.75,1.003921628,0.0,2.0,30U,704055.5373198146,5638915.508743834,88425.82533491973,-61.86165300065761,-68.10621034805558
301,20458.196242,704055575.5675141,5638915437.227497,88431.52720974108,356.3125,-4.0,8.5,1.003921628,1.0,,,704055.575567514,5638915.437227499,88431.5272097411,-61.78554058400511,-67.79371034805558
302,20525.844888,704055614.9688231,5638915363.788876,88437.19421224289,356.0,-3.6875,8.9375,1.003921628,4.0,2.0,30U,704055.6149688232,5638915.363788876,88437.19421224289,-61.67939778472237,-67.48121034805558
303,20592.536763,704055654.0662954,5638915291.239499,88442.77884645225,355.75,-4.125,8.8125,1.003921628,0.0,5.0,30U,704055.6540662955,5638915.291239497,88442.77884645225,-61.50304456854599,-67.23121034805558
304,20653.279367,704055689.9783807,5638915225.089281,88447.77017008915,355.5625,-4.0,8.4375,1.003921628,1.0,,,704055.6899783808,5638915.225089282,88447.77017008915,-61.474412153830144,-67.04371034805558
305,20720.810044,704055730.0251894,5638915151.410725,88453.12250516185,355.75,-3.9375,8.5625,1.003921628,2.0,5.0,30U,704055.730025189,5638915.151410723,88453.12250516185,-61.38311382281438,-67.23121034805558
306,20794.223221,704055773.7970654,5638915071.18369,88458.91986768217,355.3125,-4.125,8.6875,1.003921628,0.0,5.0,30U,704055.7737970655,5638915.07118369,88458.91986768217,-61.19904627951468,-66.79371034805558
